Data structure size: 40265319552 bits , construction time: 12131131042 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,155.208,155.882,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,169.75,170.57,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,192.122,192.688,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,235.698,236.033,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,364.655,364.313,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,568.701,568.372,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,725.169,724.469,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,957.186,956.166,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,1211.31,1210.13,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,1419.43,1417.59,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1692.76,1690.35,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,1711.9,1710.15,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1703.34,1701.04,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1712.9,1710.76,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1705.57,1703.22,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1709,1706.33,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1706.15,1703.67,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1717.89,1715.43,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1706.34,1703.86,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1714.01,1710.8,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1742.49,1740.09,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1733.59,1732.21,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1723.18,1720.83,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1738.07,1736.1,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1721.52,1718.91,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1727.59,1725.21,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1730.32,1727.67,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1729.61,1726.86,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1751.46,1748.61,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1776.39,1773.49,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1803.98,1800.45,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1816.77,1813.83,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1839.29,1835.9,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1851.72,1849.28,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1879.43,1875.67,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1905.1,1901.65,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1907.94,1905.34,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,2068.55,2064.31,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,2244.3,2238.64,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,2442.29,2437.97,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,2626.19,2623.26,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,2778.29,2774.15,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,2919.2,2915.74,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,3064.62,3060.24,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,3197.71,3194.2,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,3349.64,3347.63,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4746.44,4735.45,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,6405.36,6389.5,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,8252.64,8229.71,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,10222.5,10189.7,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,12292,12255,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,14353.1,14307.8,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,16356.2,16305.3,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,18416.9,18355.4,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,20497.6,20429.1,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,51653.1,51514.4,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,85676.5,85444.6,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,120697,120383,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,157204,156782,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,194059,193541,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,231432,230813,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,269328,268615,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,307533,306735,ns,,,,,,0,0,9e+06,10000
