Data structure size: 91805132736 bits , construction time: 571213686248 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,221.536,222.12,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,232.31,234.359,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,315.249,316,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,279.35,279.805,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,468.093,468.084,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,696.086,695.079,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,968.414,966.405,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,744.47,740.197,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,1150.68,1146.56,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,1275.57,1270.36,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,2108.92,2104.28,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,2140.63,2136.14,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,2126.25,2120.95,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,2129.25,2122.55,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,2118.97,2114.92,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,2118.91,2114.35,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,2131.22,2124.73,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,2137.4,2132.06,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,2131.46,2127.94,ns,,,,,,0,0,100,10000
