Data structure size: 91888813824 bits , construction time: 32544073487 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,169.386,170.142,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,172.973,174.559,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,197.894,196.831,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,214.116,214.376,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,327.426,327.514,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,508.334,507.613,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,619.948,618.36,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,650.925,648.803,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,775.243,771.973,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,709.821,706.587,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,948.376,944.252,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,947.236,942.529,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,946.496,941.723,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,943.954,939.549,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,945.15,941.372,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,950.043,945.313,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,948.36,944.352,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,946.922,942.755,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,948.224,943.823,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,946.801,942.492,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,954.16,949.505,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,950.845,946.488,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,947.684,943.7,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,951.841,947.472,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,952.714,947.98,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,956.681,952.243,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,965.807,961.656,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,964.711,960.762,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,965.921,960.563,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,971.908,966.541,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,988.14,982.501,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,990.698,985.089,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,998.756,993.722,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1014.83,1009.21,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1022.44,1016.24,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1025.49,1019.99,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1035.95,1029.36,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1119.43,1112.72,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1212.02,1205.38,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1348.12,1341.36,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1527.28,1522.61,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1635.33,1629.19,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1741,1734.85,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1857.39,1851.7,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1962.82,1956.64,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2073.27,2067.02,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3260.9,3252.77,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,4718.01,4702.39,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,6343.5,6321.46,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,8086.91,8059.09,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,9931.87,9893.5,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,11868.2,11824.3,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,13784.1,13733.4,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,15648.5,15589.4,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,17632.6,17562.7,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,48175.7,48040,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,81811.3,81580.9,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,116553,116236,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,152671,152256,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,189635,189117,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,226686,226098,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,263987,263296,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,302172,301381,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,340682,339786,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,733332,731413,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.13644e+06,1.13338e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.51517e+06,1.51148e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.90179e+06,1.89733e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.29026e+06,2.28495e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.68173e+06,2.67562e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.06701e+06,3.06039e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.4575e+06,3.45043e+06,ns,,,,,,0,0,9e+07,10000
