Data structure size: 91805137344 bits , construction time: 30905725194 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,177.706,177.949,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,177.161,176.811,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,209.852,208.985,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,224.142,224.904,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,388.721,388.323,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,608.568,607.619,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,837.558,834.405,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,681.275,678.381,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,1017.92,1014.33,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,1162.4,1157.81,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1604.69,1600.6,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,1606.39,1602.24,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1613.19,1606.77,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1604.16,1600.67,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1599,1594,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1601.46,1597,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1607.52,1601.35,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1600.02,1595.4,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1611.97,1605.41,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1609.66,1605.19,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1604.17,1599.27,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1599.26,1594.81,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1604.51,1599.48,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1609.17,1605.01,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1608.79,1604.43,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1609.36,1605.22,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1616.4,1611.12,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1612.82,1608.43,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1628.52,1624.07,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1639.75,1634.7,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1641.68,1637.96,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1646.96,1643.56,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1657.94,1654.1,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1672.48,1668.36,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1684.91,1678.96,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1697.86,1690.32,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1694.43,1688.85,ns,,,,,,0,0,10000,10000
