Data structure size: 91805337536 bits , construction time: 139427974341 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,168.366,168.401,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,169.918,171.319,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,195.18,195.324,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,213.307,213.646,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,319.398,319.304,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,517.346,514.955,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,619.406,617.338,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,666.48,663.191,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,769.849,765.726,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,711.94,707.647,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,962.067,957.382,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,971.784,965.943,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,970.902,965.537,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,969.574,960.906,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,963.457,958.068,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,964.357,958.931,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,955.541,950.073,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,962.776,957.416,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,962.68,957.256,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,965.754,961.327,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,967.599,962.115,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,970.272,964.811,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,968.761,963.48,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,972.395,967.242,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,967.041,961.096,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,967.986,962.376,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,972.729,967.006,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,972.927,967.352,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,970.612,964.772,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,974.174,967.924,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,981.413,974.561,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,974.919,969.059,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,977.257,972.158,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,976.505,971.807,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,978.748,974.642,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,985.114,979.811,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,986.77,981.243,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1005.66,996.725,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1016.25,1006.9,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1026.82,1017.19,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1024.67,1014.09,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1032.09,1020.67,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1036.97,1025.67,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1034.91,1022.62,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1044.11,1032.71,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,1042.34,1029.69,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,1053.55,1038.54,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,1070.31,1051.7,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,1077.72,1057.02,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,1093.78,1069.67,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,1115.88,1087.58,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,1144.8,1114.09,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,1160.67,1125.94,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,1202.83,1162.6,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,1252.19,1202.69,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,1569.61,1451.09,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,1658.38,1525.66,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,1745.72,1605.62,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,1814.54,1666.35,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,1865.14,1708.92,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,1927.77,1749.8,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,2003.25,1816.75,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,2053.13,1860.79,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,2105.48,1902.08,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,2171.13,1931.52,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,2403.01,2034.21,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,2524.74,2093.11,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,2581.12,2119.95,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2590.58,2098.35,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2649.12,2142.19,ns,,,,,,0,0,7e+07,10000
