Data structure size: 91805747136 bits , construction time: 218078655799 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,174.192,172.693,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,170.923,171.314,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,197.13,199.047,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,221.44,221.902,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,333.175,333.456,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,524.554,523.929,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,632.873,631.172,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,687.499,684.739,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,793.863,790.97,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,739.645,736.268,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1218.26,1213.72,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,1214.96,1209.79,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1227.04,1222.01,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1224.38,1219.43,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1221.59,1216.78,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1216.74,1211.69,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1203.39,1198.39,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1215.35,1210.68,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1215.4,1211.05,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1212.8,1208.07,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1211.4,1206.55,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1210.6,1205.87,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1212.03,1207.04,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1216.92,1211.95,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1216.88,1212.24,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1212.45,1207.07,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1221.6,1216.97,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1229.42,1224.44,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1225.07,1219.34,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1227.23,1221.44,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1226.99,1220.89,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1232.9,1227.13,ns,,,,,,0,0,5000,10000
