Data structure size: 91888813824 bits , construction time: 32555613209 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,170.244,171.064,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,172.129,173.059,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,196.976,197.541,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,214.601,215.199,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,326.773,326.658,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,519.019,517.826,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,627.808,625.661,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,660.19,656.861,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,775.715,772.456,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,713.152,709.006,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,948.964,943.694,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,946.438,941.145,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,950.636,945.092,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,948.879,943.806,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,958.257,952.889,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,959.617,954.631,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,953.772,948.728,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,954.163,949.133,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,954.05,948.88,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,948.718,943.376,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,959.301,953.614,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,963.006,957.736,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,952.759,946.936,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,952.512,947.481,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,947.96,941.261,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,954.205,948.65,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,954.553,949.112,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,954.278,948.587,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,961.484,955.177,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,974.076,968.066,ns,,,,,,0,0,3000,10000
