Data structure size: 91805235520 bits , construction time: 573754376535 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,6062.11,6067.2,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,6205.97,6209.62,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,9721.81,9723.02,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,7637.71,7638.84,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,12189.6,12186.9,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,9052.97,9049.7,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,14336.6,14329.7,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,9093.71,9090.25,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,14021,14014.4,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,9683.19,9678.25,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,17483.6,17471,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,17409.1,17397.1,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,17414,17402.7,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,17423.4,17411.8,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,17267.3,17255.8,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,17375.3,17362.6,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,17397.2,17386.5,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,17546.4,17533.9,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,17363.2,17351.4,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,17477.3,17465.4,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,17490.9,17477.9,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,17510.6,17499.3,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,17487.6,17477.2,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,17511.2,17500.9,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,17583.1,17571.9,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,17530,17518.7,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,17593,17583.2,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,17606.4,17594.6,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,17670.9,17658.9,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,17994,17982.1,ns,,,,,,0,0,3000,10000
