Data structure size: 91805542720 bits , construction time: 140367237736 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,519.24,520.681,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,941.891,943.85,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,1375.96,1379.05,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,1152.99,1154.61,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,1864.81,1867.81,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,1731.36,1732.65,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,2775.02,2776.41,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,1891.58,1892.24,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,2904.5,2904.94,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,2025.52,2023.84,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,3632.21,3629.69,ns,,,,,,0,6,20,10001
"BM_run/30/iterations:10000",10000,3554.21,3552.52,ns,,,,,,0,3,30,10000
"BM_run/40/iterations:10000",10000,3551.56,3549.35,ns,,,,,,0,7,40,10000
"BM_run/50/iterations:10000",10000,3572.23,3569.97,ns,,,,,,0,2,50,10000
"BM_run/60/iterations:10000",10000,3560.25,3558.67,ns,,,,,,0,2,60,10000
"BM_run/70/iterations:10000",10000,3603.37,3601.13,ns,,,,,,0,4,70,10000
"BM_run/80/iterations:10000",10000,3529.02,3527.1,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,3552.92,3551.22,ns,,,,,,0,3,90,10000
"BM_run/100/iterations:10000",10000,3547.92,3545.9,ns,,,,,,0,2,100,10000
"BM_run/200/iterations:10000",10000,3604.13,3601.86,ns,,,,,,0,7,200,10000
"BM_run/300/iterations:10000",10000,3612.37,3611.43,ns,,,,,,0,2,300,10000
"BM_run/400/iterations:10000",10000,3605.54,3603.71,ns,,,,,,0,1,400,10000
"BM_run/500/iterations:10000",10000,3635.4,3633.1,ns,,,,,,0,2,500,10000
"BM_run/600/iterations:10000",10000,3632.9,3631.31,ns,,,,,,0,2,600,10000
"BM_run/700/iterations:10000",10000,3651.2,3647.94,ns,,,,,,0,3,700,10000
"BM_run/800/iterations:10000",10000,3614.46,3612.55,ns,,,,,,0,1,800,10000
"BM_run/900/iterations:10000",10000,3656.26,3654.52,ns,,,,,,0,2,900,10000
"BM_run/1000/iterations:10000",10000,3687.43,3686.37,ns,,,,,,0,4,1000,10000
"BM_run/2000/iterations:10000",10000,3723.63,3721.34,ns,,,,,,0,2,2000,10000
"BM_run/3000/iterations:10000",10000,3827.94,3824.48,ns,,,,,,0,1,3000,10000
"BM_run/4000/iterations:10000",10000,3908.33,3906.1,ns,,,,,,0,2,4000,10000
"BM_run/5000/iterations:10000",10000,3938.79,3936.25,ns,,,,,,0,2,5000,10000
"BM_run/6000/iterations:10000",10000,3942.79,3940.33,ns,,,,,,0,2,6000,10000
"BM_run/7000/iterations:10000",10000,3930.25,3927.8,ns,,,,,,0,6,7000,10000
"BM_run/8000/iterations:10000",10000,4008.96,4006.62,ns,,,,,,0,5,8000,10000
"BM_run/9000/iterations:10000",10000,4050.94,4047.99,ns,,,,,,0,4,9000,10000
"BM_run/10000/iterations:10000",10000,4040.79,4038.2,ns,,,,,,0,5,10000,10000
"BM_run/20000/iterations:10000",10000,4339.97,4337.08,ns,,,,,,0,5,20000,10000
"BM_run/30000/iterations:10000",10000,4707.21,4703.05,ns,,,,,,0,4,30000,10000
"BM_run/40000/iterations:10000",10000,4862.54,4857.3,ns,,,,,,0,1,40000,10000
"BM_run/50000/iterations:10000",10000,4969.71,4962.72,ns,,,,,,0,1,50000,10000
"BM_run/60000/iterations:10000",10000,5479.2,5472.37,ns,,,,,,0,3,60000,10000
"BM_run/70000/iterations:10000",10000,5705.26,5698.89,ns,,,,,,0,4,70000,10000
"BM_run/80000/iterations:10000",10000,6119.04,6109.77,ns,,,,,,0,1,80000,10000
"BM_run/90000/iterations:10000",10000,6264.15,6255.48,ns,,,,,,0,2,90000,10000
"BM_run/100000/iterations:10000",10000,6393.78,6384.26,ns,,,,,,0,1,100000,10000
"BM_run/200000/iterations:10000",10000,9168.24,9156.75,ns,,,,,,0,1,200000,10000
"BM_run/300000/iterations:10000",10000,12075.9,12058.1,ns,,,,,,0,5,300000,10000
"BM_run/400000/iterations:10000",10000,14853.2,14827.5,ns,,,,,,0,2,400000,10000
"BM_run/500000/iterations:10000",10000,17885.9,17853.7,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,20882.6,20846.6,ns,,,,,,0,2,600000,10000
"BM_run/700000/iterations:10000",10000,24011,23960,ns,,,,,,0,4,700000,10000
"BM_run/800000/iterations:10000",10000,27055.9,26997.9,ns,,,,,,0,4,800000,10000
"BM_run/900000/iterations:10000",10000,30177.2,30108.1,ns,,,,,,0,3,900000,10000
"BM_run/1000000/iterations:10000",10000,32879.1,32800.9,ns,,,,,,0,1,1e+06,10000
"BM_run/2000000/iterations:10000",10000,67716.8,67540.3,ns,,,,,,0,2,2e+06,10000
"BM_run/3000000/iterations:10000",10000,105307,105033,ns,,,,,,0,4,3e+06,10000
"BM_run/4000000/iterations:10000",10000,144486,144108,ns,,,,,,0,3,4e+06,10000
"BM_run/5000000/iterations:10000",10000,185052,184583,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,225960,225379,ns,,,,,,0,2,6e+06,10000
"BM_run/7000000/iterations:10000",10000,266853,266160,ns,,,,,,0,6,7e+06,10000
"BM_run/8000000/iterations:10000",10000,307372,306682,ns,,,,,,0,1,8e+06,10000
"BM_run/9000000/iterations:10000",10000,350605,349826,ns,,,,,,0,2,9e+06,10000
