Data structure size: 91806157120 bits , construction time: 218410930258 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1825.88,1828.97,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,2983.21,2988.01,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,4277.21,4282.23,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,2804.6,2808.47,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,4265.75,4268.87,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,3200.1,3202.32,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,4852.76,4854.11,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,3310.61,3311.89,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,4965.1,4965.34,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,3683.84,3683.88,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,6622.83,6618.82,ns,,,,,,0,6,20,10001
"BM_run/30/iterations:10000",10000,6520,6516.86,ns,,,,,,0,3,30,10000
"BM_run/40/iterations:10000",10000,6649.13,6645.95,ns,,,,,,0,2,40,10000
"BM_run/50/iterations:10000",10000,6579.58,6576.38,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,6653.32,6647.89,ns,,,,,,0,4,60,10000
"BM_run/70/iterations:10000",10000,6711.97,6708.63,ns,,,,,,0,9,70,10000
"BM_run/80/iterations:10000",10000,6595.76,6592.65,ns,,,,,,0,4,80,10000
"BM_run/90/iterations:10000",10000,6665.45,6661.12,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,6741.92,6738.45,ns,,,,,,0,8,100,10000
"BM_run/200/iterations:10000",10000,6800.64,6796.4,ns,,,,,,0,7,200,10000
"BM_run/300/iterations:10000",10000,6785.22,6781.2,ns,,,,,,0,3,300,10000
"BM_run/400/iterations:10000",10000,6744.43,6740.29,ns,,,,,,0,3,400,10000
"BM_run/500/iterations:10000",10000,6905.19,6900.77,ns,,,,,,0,4,500,10000
"BM_run/600/iterations:10000",10000,6761.51,6757.5,ns,,,,,,0,2,600,10000
"BM_run/700/iterations:10000",10000,6912.2,6907.65,ns,,,,,,0,2,700,10000
"BM_run/800/iterations:10000",10000,6804.56,6799.01,ns,,,,,,0,2,800,10000
"BM_run/900/iterations:10000",10000,6925.9,6921.42,ns,,,,,,0,2,900,10000
"BM_run/1000/iterations:10000",10000,7032.32,7027.73,ns,,,,,,0,4,1000,10000
"BM_run/2000/iterations:10000",10000,7086.54,7078.25,ns,,,,,,0,3,2000,10000
"BM_run/3000/iterations:10000",10000,7256.67,7247.11,ns,,,,,,0,2,3000,10000
"BM_run/4000/iterations:10000",10000,7373.79,7365.18,ns,,,,,,0,5,4000,10000
"BM_run/5000/iterations:10000",10000,7576.05,7563.61,ns,,,,,,0,4,5000,10000
"BM_run/6000/iterations:10000",10000,7710.01,7703.43,ns,,,,,,0,3,6000,10000
"BM_run/7000/iterations:10000",10000,7800.75,7791.98,ns,,,,,,0,3,7000,10000
"BM_run/8000/iterations:10000",10000,7984.06,7977.52,ns,,,,,,0,1,8000,10000
"BM_run/9000/iterations:10000",10000,8090.42,8083.6,ns,,,,,,0,5,9000,10000
"BM_run/10000/iterations:10000",10000,8191.12,8181.46,ns,,,,,,0,2,10000,10000
"BM_run/20000/iterations:10000",10000,9706.11,9695.93,ns,,,,,,0,6,20000,10000
"BM_run/30000/iterations:10000",10000,11243.5,11232.8,ns,,,,,,0,1,30000,10000
"BM_run/40000/iterations:10000",10000,12669.6,12650.6,ns,,,,,,0,3,40000,10000
"BM_run/50000/iterations:10000",10000,14153,14136.7,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,15775.7,15756.9,ns,,,,,,0,1,60000,10000
"BM_run/70000/iterations:10000",10000,16991.5,16969.6,ns,,,,,,0,6,70000,10000
"BM_run/80000/iterations:10000",10000,18538.7,18516.4,ns,,,,,,0,3,80000,10000
"BM_run/90000/iterations:10000",10000,20000.8,19973.5,ns,,,,,,0,4,90000,10000
"BM_run/100000/iterations:10000",10000,21405.3,21380.2,ns,,,,,,0,3,100000,10000
"BM_run/200000/iterations:10000",10000,35756.3,35709.4,ns,,,,,,0,3,200000,10000
"BM_run/300000/iterations:10000",10000,50413.2,50347.3,ns,,,,,,0,2,300000,10000
"BM_run/400000/iterations:10000",10000,64910,64827.8,ns,,,,,,0,4,400000,10000
"BM_run/500000/iterations:10000",10000,79585.4,79473.4,ns,,,,,,0,5,500000,10000
"BM_run/600000/iterations:10000",10000,94283.6,94150.4,ns,,,,,,0,1,600000,10000
"BM_run/700000/iterations:10000",10000,109059,108900,ns,,,,,,0,3,700000,10000
"BM_run/800000/iterations:10000",10000,123622,123438,ns,,,,,,0,5,800000,10000
