Data structure size: 13421773248 bits , construction time: 2961423405 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,7.91121e+07,7.90717e+07,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,2.19795e+07,2.19682e+07,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,5.66663e+06,5.66366e+06,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,1.4157e+06,1.41497e+06,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,356449,356258,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,91071.5,91020,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,25312.3,25294.4,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,8686.8,8684.18,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,4201.41,4201.86,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,2845,2846.16,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1831.22,1829.98,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,2010.73,2009.53,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,2186.66,2183,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,2194.8,2190.48,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,2198.61,2193.55,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,2196.06,2192.27,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,2228.9,2226.25,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,2192.56,2190.59,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,2215.87,2213.78,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,2244.93,2243.5,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,2302.05,2299.75,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,2310.18,2308.06,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,2359.63,2357.66,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,2415.2,2412.63,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,2455.69,2452.63,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,2495.17,2492.49,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,2545.6,2543.25,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,2563.34,2560.48,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,2993.53,2989.76,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3412.73,3408.8,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3810.92,3806.22,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,4234.48,4229.44,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,4672.46,4667.44,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,5060.67,5053.96,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,5502.71,5497.57,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,5876.1,5869.16,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,6269.81,6262.85,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,10352.8,10342.3,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,14437,14422.5,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,18477.2,18461.7,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,22528.9,22508.1,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,26584.8,26559.3,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,30657.6,30628.5,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,34749.4,34713.3,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,38768,38730.5,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,42844.3,42801.6,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,83406,83328.8,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,125809,125691,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,164964,164808,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,207379,207179,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,246467,246231,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,286806,286529,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,327910,327578,ns,,,,,,0,0,800000,10000
