Data structure size: 40265319552 bits , construction time: 12346408197 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,294.29,294.157,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,1252.46,1251.6,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,4069.84,4066.83,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,4912.03,4907.16,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,4961.99,4956.04,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,4935.07,4929.34,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,4946.41,4941.18,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,4936.15,4930.85,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,4947.52,4942.62,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,4958.33,4953.86,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,4947.42,4940.69,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,4922.08,4916.52,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,4944.87,4938.48,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,4958.51,4952.67,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,4963.75,4958.13,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,4988.17,4982.16,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,4976.28,4970.91,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,4936.63,4931.56,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,4965.59,4960.4,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,4936.58,4931.34,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,4966.18,4960.79,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,4961.23,4955.67,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,4969.72,4965.06,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,5005.45,4998.79,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,4971.37,4964.47,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,4978.19,4973.37,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,4956.02,4951.84,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,4965.48,4960.7,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,4990.36,4984.58,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,5028.82,5022.86,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,5039.71,5032.41,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,5104.7,5098.5,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,5080.01,5073.7,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,5097.73,5091.11,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,5143.29,5137.7,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,5156.83,5149.47,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,5174.01,5167.89,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,5380.84,5374.2,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,5584.81,5577.64,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,5815.25,5808,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,6000.03,5993.15,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,6195.53,6188.68,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,6424.4,6416.11,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,6622.31,6614.67,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,6760.81,6753.61,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,6974.45,6966.21,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,9125.43,9112.59,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,11517.2,11496.3,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,13949.5,13921.2,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,16511.1,16473.4,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,19072.7,19026.4,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,21572.7,21515.2,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,23856.1,23797.5,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,26319.8,26244.8,ns,,,,,,0,0,900000,10000
