Data structure size: 53234108160 bits , construction time: 19180183398 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,345.063,345.71,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,513.628,511.297,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3190.17,3184.33,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,655.808,649.822,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,720.289,714.967,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,750.384,744.746,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,756.713,751.138,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,810.374,805.211,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,814.394,808.849,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,804.469,799.248,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,811.905,806.492,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,802.893,796.754,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,805.991,800.303,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,802.448,796.547,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,811.647,806.623,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,805.147,799.594,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,815.212,810.429,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,820.806,815.439,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,812.449,806.936,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,808.356,802.708,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,802.787,797.711,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,806.334,801.017,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,810.536,805.074,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,806.949,801.757,ns,,,,,,0,0,600,10000
