Data structure size: 53150529856 bits , construction time: 174859273925 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,17785,17779.8,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,8922.92,8919.82,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,17264.7,17256.9,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,9041.15,9034.26,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,13996.9,13986.6,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,15222.3,15211.7,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,15271.5,15261.4,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,15624.7,15614.4,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,15444.1,15432.3,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,15532.9,15522.7,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,15579.1,15568.7,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,15620.3,15608.2,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,15525.6,15513.5,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,15592,15580.4,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,15446.3,15435.9,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,15588.8,15578.5,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,15481.6,15471.1,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,15529.8,15518.3,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,15551.4,15541.3,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,15523.7,15513.8,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,15580.3,15568.1,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,15568.8,15558.8,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,15609.3,15598.3,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,15634,15623,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,15585.1,15575.3,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,15645.9,15634.2,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,15693.7,15682.7,ns,,,,,,0,0,900,10000
