Data structure size: 53150837056 bits , construction time: 51172644149 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,2265.49,2271.1,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,1704.38,1703.98,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,5560.12,5558.13,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,1903.04,1900.03,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,2843.02,2840.58,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,3043.98,3042.12,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,3040.73,3038.87,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,3090.95,3089.27,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,3078.34,3076.63,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,3094.6,3092.32,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,3089.68,3087.53,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,3075.38,3072.81,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,3078.02,3075.67,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,3087.02,3084.48,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,3090.64,3087.78,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,3081.22,3078.31,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,3079.4,3076.63,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,3092.41,3088.42,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,3084.1,3080.76,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,3076.12,3074.28,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,3100.7,3097.75,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,3118.9,3116.06,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,3128.53,3125.34,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,3136.64,3134.58,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,3141.95,3138.38,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,3131.42,3128.89,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,3150.25,3147.38,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,3165.16,3162.57,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3248.87,3246.03,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3352.95,3348.76,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3428.46,3424.44,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,3420.2,3417.6,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,3447.6,3444.78,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,3451.46,3447.72,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,3509.3,3505.75,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,3537.78,3535.2,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,3533.64,3531.56,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,3872.61,3871.02,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,4206.79,4203.97,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,4358.13,4355.32,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,4469.47,4465.84,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,4934.17,4929.8,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,5194.55,5189.61,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,5536.37,5530.95,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,5739.34,5733.07,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,5854.71,5848.55,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,8665.01,8653.69,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,11503.2,11488.1,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,14301.4,14281.5,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,17307.5,17279.6,ns,,,,,,0,0,500000,10000
