Data structure size: 91888813824 bits , construction time: 32658643124 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,523.258,523.862,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,384.102,379.516,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,1909.67,1901.86,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,642.356,633.328,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1258.93,1249.44,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,876.13,866.569,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1122.49,1113.01,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,751.717,741.387,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,903.213,891.621,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,873.453,862.848,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1003.54,992.747,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1121.95,1111.13,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,1125.29,1114.93,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,1151.22,1139.91,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,1158.43,1148.53,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,1210.09,1200.07,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,1218.69,1209.26,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,1232.99,1223.85,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,1252.7,1243.41,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,1366.42,1356.67,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,1476.44,1466.96,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,1499.61,1490.42,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,1510.95,1501.71,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,1641.7,1632.54,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,1648.11,1639.68,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,1651.21,1642.28,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,1655.92,1646.69,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,1678.86,1669.87,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,1779.37,1769.28,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,1899.39,1889.3,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,1897.86,1887.84,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,2103.03,2093.22,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,2116.67,2106.42,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,2111.76,2100.69,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,2131.35,2119.82,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,2362.54,2351.09,ns,,,,,,0,0,9000,36058
"BM_run/10000/iterations:10000",10000,2368.91,2357.71,ns,,,,,,0,0,10000,35401
"BM_run/20000/iterations:10000",10000,2755.1,2744.31,ns,,,,,,0,0,20000,27279
"BM_run/30000/iterations:10000",10000,2842.27,2831.18,ns,,,,,,0,0,30000,15335
"BM_run/40000/iterations:10000",10000,3379.91,3370.53,ns,,,,,,0,0,40000,10685
"BM_run/50000/iterations:10000",10000,3482.53,3472.74,ns,,,,,,0,0,50000,14084
"BM_run/60000/iterations:10000",10000,3600.8,3591.77,ns,,,,,,0,0,60000,12024
"BM_run/70000/iterations:10000",10000,4697.71,4688.83,ns,,,,,,0,0,70000,10022
"BM_run/80000/iterations:10000",10000,4808.83,4798.5,ns,,,,,,0,0,80000,10645
"BM_run/90000/iterations:10000",10000,4912.94,4902.84,ns,,,,,,0,0,90000,10028
"BM_run/100000/iterations:10000",10000,5038.61,5025.49,ns,,,,,,0,0,100000,10016
"BM_run/200000/iterations:10000",10000,7778.46,7761.51,ns,,,,,,0,0,200000,10005
"BM_run/300000/iterations:10000",10000,12107.9,12081.2,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,13430.2,13396.9,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,14837.3,14793.9,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,16404.4,16353.6,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,18000.5,17938.7,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,19705.7,19638.6,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,21445.4,21371.1,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,23358.4,23271.9,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,53839.8,53685.8,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,87890.2,87661.2,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,122883,122587,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,159028,158667,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,195834,195402,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,233472,232964,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,270976,270399,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,309397,308735,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,348072,347322,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,741058,739346,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.14411e+06,1.14134e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.5236e+06,1.52058e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.90295e+06,1.89951e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.29077e+06,2.28653e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.68211e+06,2.6773e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.06814e+06,3.06278e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.45773e+06,3.45172e+06,ns,,,,,,0,0,9e+07,10000
