Data structure size: 91805137344 bits , construction time: 30620677364 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,411.551,411.693,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,401.291,396.517,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,1927.78,1920.4,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,658.983,649.916,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1397.32,1387.13,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,1238.61,1227.99,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1597.06,1586.29,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,845.843,834.858,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,1098.83,1086.81,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,1228.86,1216.44,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1352.91,1342.06,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1465.83,1455.3,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,1447.04,1436.77,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,1493.17,1484.04,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,1534.24,1525.83,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,1556.24,1548.32,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,1584.4,1576.33,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,1605.22,1597.57,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,1612.56,1604.94,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,1757.6,1749.69,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,1894.99,1887.11,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,1908.83,1900.81,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,1931.63,1924.11,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,2031.1,2023.32,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,2053.89,2046.34,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,2071.38,2063.34,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,2067.45,2059.94,ns,,,,,,0,0,900,255278
