Data structure size: 91805337536 bits , construction time: 120331317151 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,514.25,514.366,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,431.814,427.686,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,1938.62,1932.41,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,687.757,680.323,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1315.13,1306.8,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,948.703,939.886,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1197.42,1188.8,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,798.215,788.57,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,959.941,949.396,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,904.293,894.562,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1063.41,1053.71,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1198.24,1188.42,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,1186.64,1178.26,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,1229.4,1220.32,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,1237.92,1229.24,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,1281.43,1272.45,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,1289.04,1280.62,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,1311.06,1302.6,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,1296.06,1287.4,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,1409.73,1401.13,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,1535.88,1528.96,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,1537.1,1529.96,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,1554.6,1548.01,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,1671.66,1665.17,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,1675.7,1669.74,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,1702.64,1695.04,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,1665.93,1659,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,1694.98,1687.97,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,1893.8,1885.98,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,2113.3,2104.94,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,2162.12,2152.91,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,2480.52,2471.11,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,2495.04,2485.26,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,2482.94,2472.97,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,2507.75,2499.44,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,2896.25,2886.89,ns,,,,,,0,0,9000,36058
"BM_run/10000/iterations:10000",10000,2922.85,2913.97,ns,,,,,,0,0,10000,35401
"BM_run/20000/iterations:10000",10000,3697.17,3688.69,ns,,,,,,0,0,20000,27279
"BM_run/30000/iterations:10000",10000,3761.32,3753.25,ns,,,,,,0,0,30000,15335
"BM_run/40000/iterations:10000",10000,4310.56,4304.33,ns,,,,,,0,0,40000,10685
"BM_run/50000/iterations:10000",10000,4405.54,4400.05,ns,,,,,,0,0,50000,14084
"BM_run/60000/iterations:10000",10000,4539.16,4532.45,ns,,,,,,0,0,60000,12024
"BM_run/70000/iterations:10000",10000,5637.86,5630.04,ns,,,,,,0,0,70000,10022
"BM_run/80000/iterations:10000",10000,5744.74,5737.29,ns,,,,,,0,0,80000,10645
"BM_run/90000/iterations:10000",10000,5857.18,5848.89,ns,,,,,,0,0,90000,10028
"BM_run/100000/iterations:10000",10000,5945.78,5939.03,ns,,,,,,0,0,100000,10016
"BM_run/200000/iterations:10000",10000,8837.36,8823.81,ns,,,,,,0,0,200000,10005
"BM_run/300000/iterations:10000",10000,13144,13122.6,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,13257.8,13231.9,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,13342.7,13311.8,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,13560.4,13526.1,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,13764.8,13723.6,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,14080.3,14033.4,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,14270.3,14213.9,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,14629.4,14566.9,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,16685.7,16558.7,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,17117.5,16957.8,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,17335.7,17166.9,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,17586.9,17407,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,17721.3,17540,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,17906.6,17726,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,18061,17881.3,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,18191.9,17993.3,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,18321.2,18110.5,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,19125.8,18833.9,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,19771.1,19331.9,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,20167.9,19678.9,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,20357.8,19870.1,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,20415.1,19892,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,20540.4,20011.2,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,20609.6,20071.6,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,20809.4,20270.6,ns,,,,,,0,0,9e+07,10000
