Data structure size: 91805747136 bits , construction time: 213206831079 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,456.121,454.876,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,447.016,443.489,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,1948.04,1942.99,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,714.336,708.478,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1324.02,1316.46,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,966.541,959.152,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1265.75,1257.87,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,847.565,838.558,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,986.441,977.944,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,992.462,984.071,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1211.77,1202.45,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1426.75,1417.04,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,1506.89,1498.04,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,1618.56,1609.37,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,1659.53,1651.07,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,1836.63,1827.84,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,1864.75,1855.11,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,1900.54,1892.36,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,1927.04,1918.63,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,2236.91,2227.66,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,2554.96,2546.3,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,2564.52,2555.39,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,2601.96,2592.64,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,2979.17,2969.92,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,2981.34,2972.19,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,2984.37,2975.24,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,2998.46,2989.82,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,3001.19,2992.63,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,3486.69,3477.38,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,4061.27,4051.45,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,4072.81,4062.94,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,4874.51,4864.14,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,4891.11,4880.53,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,4940.37,4930,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,4897.95,4887.34,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,6306.06,6294.01,ns,,,,,,0,0,9000,36058
"BM_run/10000/iterations:10000",10000,6293.53,6282.01,ns,,,,,,0,0,10000,35401
"BM_run/20000/iterations:10000",10000,7652.03,7640.49,ns,,,,,,0,0,20000,27279
"BM_run/30000/iterations:10000",10000,7700.36,7689.16,ns,,,,,,0,0,30000,15335
"BM_run/40000/iterations:10000",10000,10235.7,10223.5,ns,,,,,,0,0,40000,10685
"BM_run/50000/iterations:10000",10000,10358,10346.2,ns,,,,,,0,0,50000,14084
"BM_run/60000/iterations:10000",10000,10475.4,10461.8,ns,,,,,,0,0,60000,12024
"BM_run/70000/iterations:10000",10000,15396.8,15380.9,ns,,,,,,0,0,70000,10022
"BM_run/80000/iterations:10000",10000,15529.2,15510.6,ns,,,,,,0,0,80000,10645
"BM_run/90000/iterations:10000",10000,15604.6,15588.1,ns,,,,,,0,0,90000,10028
