Data structure size: 91805137344 bits , construction time: 30889275954 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,410.808,411.15,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,402.358,399.312,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,1924.99,1920.52,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,653.269,647.109,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1388.06,1381.31,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,1234.62,1226.5,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1592.75,1583.66,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,850.257,841.116,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,1098.79,1090.08,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,1233.17,1221.78,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1365.98,1357.59,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1463.99,1455.54,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,1447.52,1439.83,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,1492.98,1485.6,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,1530.12,1522.37,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,1561.41,1554.43,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,1581.96,1575.16,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,1597.07,1589.42,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,1610.66,1603.2,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,1766.79,1759.88,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,1888.89,1882.23,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,1910.94,1904.35,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,1930.78,1924.23,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,2030.56,2024.67,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,2061.65,2054.45,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,2065.93,2059.34,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,2064.45,2056.96,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,2097.89,2091.1,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,2352.6,2345.33,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,2622.01,2614.08,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,2640.04,2631.77,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,2960.59,2952.16,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,2974.85,2965.76,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,2971.36,2962.47,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,2993.25,2984.49,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,3406.77,3397.7,ns,,,,,,0,0,9000,36058
"BM_run/10000/iterations:10000",10000,3402.47,3393.87,ns,,,,,,0,0,10000,35401
"BM_run/20000/iterations:10000",10000,4104.52,4095.33,ns,,,,,,0,0,20000,27279
"BM_run/30000/iterations:10000",10000,4190.02,4181.18,ns,,,,,,0,0,30000,15335
"BM_run/40000/iterations:10000",10000,5247.38,5240.07,ns,,,,,,0,0,40000,10685
"BM_run/50000/iterations:10000",10000,5385.44,5378.25,ns,,,,,,0,0,50000,14084
"BM_run/60000/iterations:10000",10000,5506.15,5498.57,ns,,,,,,0,0,60000,12024
"BM_run/70000/iterations:10000",10000,7400.1,7390.55,ns,,,,,,0,0,70000,10022
"BM_run/80000/iterations:10000",10000,7720.92,7717.8,ns,,,,,,0,0,80000,10645
"BM_run/90000/iterations:10000",10000,7848.31,7843.13,ns,,,,,,0,0,90000,10028
"BM_run/100000/iterations:10000",10000,7950.05,7945.78,ns,,,,,,0,0,100000,10016
"BM_run/200000/iterations:10000",10000,10895.3,10891.8,ns,,,,,,0,0,200000,10005
"BM_run/300000/iterations:10000",10000,15399.6,15388.8,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,15695.8,15684.3,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,16114.6,16103.8,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,16631.3,16617.7,ns,,,,,,0,0,600000,10000
