Data structure size: 91806157120 bits , construction time: 213270522256 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,3309.1,3315.67,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,3022.83,3022.78,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,6092.68,6090.67,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,3451.4,3449.06,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,5518.51,5515.17,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,4360.91,4357.77,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,5798.73,5794.38,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,3871.91,3867.57,ns,,,,,,0,12,8,2.70781e+08
"BM_run/9/iterations:10000",10000,4894.68,4889.5,ns,,,,,,0,7,9,2.34843e+08
"BM_run/10/iterations:10000",10000,4746.43,4742.11,ns,,,,,,0,14,10,1.98176e+08
"BM_run/20/iterations:10000",10000,5573.72,5567.27,ns,,,,,,0,10,20,4.59412e+07
"BM_run/30/iterations:10000",10000,6293.67,6285.88,ns,,,,,,0,11,30,1.97348e+07
"BM_run/40/iterations:10000",10000,6196.45,6188.92,ns,,,,,,0,10,40,1.02213e+07
"BM_run/50/iterations:10000",10000,6488.06,6479.48,ns,,,,,,0,8,50,5.004e+06
"BM_run/60/iterations:10000",10000,6702.61,6693.4,ns,,,,,,0,12,60,2.16217e+06
"BM_run/70/iterations:10000",10000,6839.58,6829.1,ns,,,,,,0,6,70,1.08016e+06
"BM_run/80/iterations:10000",10000,6925.37,6916.65,ns,,,,,,0,8,80,635144
"BM_run/90/iterations:10000",10000,7003.36,6994.74,ns,,,,,,0,12,90,624074
"BM_run/100/iterations:10000",10000,7080.13,7071.68,ns,,,,,,0,6,100,599544
"BM_run/200/iterations:10000",10000,7547.09,7538.14,ns,,,,,,0,8,200,554807
"BM_run/300/iterations:10000",10000,7861.7,7852.49,ns,,,,,,0,7,300,491746
"BM_run/400/iterations:10000",10000,7956.52,7947,ns,,,,,,0,6,400,447566
"BM_run/500/iterations:10000",10000,8083.09,8073.37,ns,,,,,,0,11,500,447545
"BM_run/600/iterations:10000",10000,8413.62,8403.45,ns,,,,,,0,9,600,388321
"BM_run/700/iterations:10000",10000,8405.04,8393.7,ns,,,,,,0,4,700,375618
"BM_run/800/iterations:10000",10000,8441.92,8432.6,ns,,,,,,0,9,800,290701
"BM_run/900/iterations:10000",10000,8535.71,8528.12,ns,,,,,,0,7,900,255278
"BM_run/1000/iterations:10000",10000,8634.11,8622.46,ns,,,,,,0,6,1000,252013
"BM_run/2000/iterations:10000",10000,9238.53,9227.12,ns,,,,,,0,7,2000,30521
"BM_run/3000/iterations:10000",10000,9922.17,9911.84,ns,,,,,,0,9,3000,48955
"BM_run/4000/iterations:10000",10000,10127.3,10116.5,ns,,,,,,0,14,4000,36404
"BM_run/5000/iterations:10000",10000,11036.2,11022.9,ns,,,,,,0,12,5000,26517
"BM_run/6000/iterations:10000",10000,11191,11178.6,ns,,,,,,0,11,6000,27413
"BM_run/7000/iterations:10000",10000,11334.4,11320.8,ns,,,,,,0,16,7000,29470
"BM_run/8000/iterations:10000",10000,11512.4,11498.6,ns,,,,,,0,9,8000,25982
"BM_run/9000/iterations:10000",10000,11845.8,11830.2,ns,,,,,,0,9,9000,36058
"BM_run/10000/iterations:10000",10000,11959,11945.5,ns,,,,,,0,7,10000,35401
