Data structure size: 91805337536 bits, construction time: 101385502182 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,863.941,842.07,ns,,,,,,0,1
"BM_run/2/iterations:100",100,3959.02,3964.76,ns,,,,,,0,2
"BM_run/3/iterations:100",100,4431.23,4425.02,ns,,,,,,0,3
"BM_run/4/iterations:100",100,4048.46,4052.43,ns,,,,,,0,4
"BM_run/5/iterations:100",100,3528.41,3523.37,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2935.67,2938.93,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2733.81,2736.96,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2554.4,2557.58,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3052.45,3048.46,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2384.74,2387.27,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1720.36,1722.96,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1802.83,1794.67,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1786.44,1789.77,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1614.12,1616.31,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1533.38,1536.26,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1549.26,1551.2,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1698.25,1692.01,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1438.43,1440.21,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1386.85,1388.47,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1351.28,1353.11,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1575.22,1577.33,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1357.05,1358.56,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1544.91,1533.46,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1574.72,1576.5,ns,,,,,,0,600
"BM_run/700/iterations:100",100,1632.18,1633.5,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1664.58,1666.53,ns,,,,,,0,800
"BM_run/900/iterations:100",100,1555.06,1556.48,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,1496.73,1495.64,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,1658.63,1660.07,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,1764.17,1765.69,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,1692.96,1694.54,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,1613.39,1613.93,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,1765.64,1764.99,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,1695.45,1696.68,ns,,,,,,0,7000
