Data structure size: 91805337536 bits, construction time: 101485139920 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,901.118,876.85,ns,,,,,,0,1
"BM_run/2/iterations:100",100,4120.83,4117.72,ns,,,,,,0,2
"BM_run/3/iterations:100",100,4592.88,4597.7,ns,,,,,,0,3
"BM_run/4/iterations:100",100,4265.62,4251.51,ns,,,,,,0,4
"BM_run/5/iterations:100",100,3706.16,3709.5,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3074.93,3063.95,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2790.82,2793.28,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2647.37,2650.35,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3072.71,3063.93,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2505.04,2506.61,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1692.75,1696.46,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1824.74,1827.71,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1841.28,1843.03,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1623.98,1625.68,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1547.87,1549.86,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1576.6,1579.76,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1693.11,1694.73,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1452.5,1454.13,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1384.17,1385.12,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1404.32,1408.41,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1636.59,1641.85,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1392.27,1396.96,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1554.34,1561.2,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1683.18,1675.37,ns,,,,,,0,600
"BM_run/700/iterations:100",100,1689.95,1695.62,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1731.44,1737.62,ns,,,,,,0,800
"BM_run/900/iterations:100",100,1571.84,1576.96,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,1547.71,1553.61,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,1705.39,1699.43,ns,,,,,,47,2000
"BM_run/3000/iterations:100",100,1783.34,1789.69,ns,,,,,,62,3000
"BM_run/4000/iterations:100",100,1709.53,1714.54,ns,,,,,,75,4000
"BM_run/5000/iterations:100",100,1642.61,1647.41,ns,,,,,,78,5000
"BM_run/6000/iterations:100",100,1793.27,1785.38,ns,,,,,,80,6000
"BM_run/7000/iterations:100",100,1684.87,1690.96,ns,,,,,,91,7000
"BM_run/8000/iterations:100",100,1707.48,1711.51,ns,,,,,,83,8000
"BM_run/9000/iterations:100",100,1791,1794.8,ns,,,,,,92,9000
"BM_run/10000/iterations:100",100,1626.73,1628.13,ns,,,,,,91,10000
"BM_run/20000/iterations:100",100,1961.73,1960.99,ns,,,,,,92,20000
"BM_run/30000/iterations:100",100,1716.18,1711.69,ns,,,,,,99,30000
"BM_run/40000/iterations:100",100,1767.82,1749.28,ns,,,,,,97,40000
"BM_run/50000/iterations:100",100,1776.65,1768.97,ns,,,,,,99,50000
"BM_run/60000/iterations:100",100,1792.16,1782.07,ns,,,,,,96,60000
"BM_run/70000/iterations:100",100,1964.47,1957.55,ns,,,,,,96,70000
"BM_run/80000/iterations:100",100,1774.61,1763.11,ns,,,,,,99,80000
"BM_run/90000/iterations:100",100,1847.65,1839.53,ns,,,,,,99,90000
"BM_run/100000/iterations:100",100,1791.22,1778.46,ns,,,,,,99,100000
"BM_run/200000/iterations:100",100,1911.53,1896.27,ns,,,,,,100,200000
"BM_run/300000/iterations:100",100,1796.73,1780.07,ns,,,,,,100,300000
"BM_run/400000/iterations:100",100,1892.98,1868.21,ns,,,,,,100,400000
"BM_run/500000/iterations:100",100,1843.07,1810.72,ns,,,,,,99,500000
"BM_run/600000/iterations:100",100,2223.03,2166.54,ns,,,,,,98,600000
"BM_run/700000/iterations:100",100,2084.78,1999.1,ns,,,,,,100,700000
"BM_run/800000/iterations:100",100,2280.06,2158.04,ns,,,,,,99,800000
"BM_run/900000/iterations:100",100,2218.11,2084.15,ns,,,,,,100,900000
"BM_run/1000000/iterations:100",100,2221.57,2065.29,ns,,,,,,100,1e+06
"BM_run/2000000/iterations:100",100,2693.19,2591.01,ns,,,,,,100,2e+06
"BM_run/3000000/iterations:100",100,2518.59,2394.92,ns,,,,,,100,3e+06
"BM_run/4000000/iterations:100",100,2880.15,2723.77,ns,,,,,,100,4e+06
"BM_run/5000000/iterations:100",100,2683.78,2534.93,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,2793.87,2613.83,ns,,,,,,100,6e+06
