Data structure size: 91805235520 bits, construction time: 421667869157 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,7991.81,7966.18,ns,,,,,,0,1
"BM_run/2/iterations:100",100,13824.1,13824.7,ns,,,,,,0,2
"BM_run/3/iterations:100",100,14747.7,14735.7,ns,,,,,,0,3
"BM_run/4/iterations:100",100,14118.6,14119.3,ns,,,,,,0,4
"BM_run/5/iterations:100",100,14556.8,14547.5,ns,,,,,,0,5
"BM_run/6/iterations:100",100,13626.1,13625.7,ns,,,,,,0,6
"BM_run/7/iterations:100",100,14780.9,14772.5,ns,,,,,,0,7
"BM_run/8/iterations:100",100,13882,13883.6,ns,,,,,,0,8
"BM_run/9/iterations:100",100,14099.3,14108.5,ns,,,,,,0,9
"BM_run/10/iterations:100",100,13319.6,13322.4,ns,,,,,,0,10
"BM_run/20/iterations:100",100,13749.9,13738.7,ns,,,,,,0,20
"BM_run/30/iterations:100",100,14385.8,14393.3,ns,,,,,,0,30
"BM_run/40/iterations:100",100,14164.2,14165,ns,,,,,,0,40
"BM_run/50/iterations:100",100,14331.2,14322.8,ns,,,,,,0,50
"BM_run/60/iterations:100",100,16208.5,16185.1,ns,,,,,,0,60
"BM_run/70/iterations:100",100,15960.3,15960.8,ns,,,,,,0,70
"BM_run/80/iterations:100",100,15090.4,15079.2,ns,,,,,,0,80
"BM_run/90/iterations:100",100,14713.9,14713.1,ns,,,,,,0,90
"BM_run/100/iterations:100",100,15358.1,15348.8,ns,,,,,,0,100
"BM_run/200/iterations:100",100,15732,15730,ns,,,,,,0,200
"BM_run/300/iterations:100",100,15695.6,15684.6,ns,,,,,,0,300
"BM_run/400/iterations:100",100,16334.1,16321.9,ns,,,,,,0,400
"BM_run/500/iterations:100",100,17547.2,17535.3,ns,,,,,,0,500
"BM_run/600/iterations:100",100,17274.2,17273.9,ns,,,,,,0,600
"BM_run/700/iterations:100",100,16857.9,16845.9,ns,,,,,,0,700
"BM_run/800/iterations:100",100,17384.7,17373.4,ns,,,,,,0,800
"BM_run/900/iterations:100",100,15727.3,15726.1,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,16542,16532.3,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,17325.6,17315.2,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,18401.2,18396.4,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,17691.2,17681.1,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,18246.9,18239.9,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,18131.4,18133.3,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,18481.9,18472.6,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,18512.4,18503.6,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,18486.5,18482.2,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,18495.1,18466,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,19093.9,19079.7,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,20876.1,20860.4,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,22268,22236.3,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,23894.5,23866.2,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,23823.8,23801.6,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,21754.6,21724.1,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,21470.3,21449.5,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,23329.9,23312.2,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,24405.9,24394,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,28461.3,28416.5,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,34370.6,34331.1,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,38995.4,38924.8,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,45399,45322.9,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,48845.8,48729.2,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,57448.2,57333.6,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,60011.1,59853.1,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,68682.8,68484.6,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,73122.2,72938.5,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,167782,167579,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,242594,242316,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,313122,312725,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,388560,388036,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,461944,461383,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,537079,536316,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,608782,607923,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,683379,682581,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,758449,757467,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,1.49331e+06,1.4915e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,2.23788e+06,2.23507e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,3.71519e+06,3.71039e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,4.64957e+06,4.64335e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,5.37449e+06,5.36806e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,6.35365e+06,6.34608e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,7.3629e+06,7.35425e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,8.23821e+06,8.22837e+06,ns,,,,,,0,9e+07
