Data structure size: 91805747136 bits, construction time: 236546986881 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,250.909,224.22,ns,,,,,,0,1
"BM_run/2/iterations:100",100,321.592,322.14,ns,,,,,,0,2
"BM_run/3/iterations:100",100,448.052,428.75,ns,,,,,,0,3
"BM_run/4/iterations:100",100,687.389,686.49,ns,,,,,,0,4
"BM_run/5/iterations:100",100,713.248,714.72,ns,,,,,,0,5
"BM_run/6/iterations:100",100,889.631,891.37,ns,,,,,,0,6
"BM_run/7/iterations:100",100,981.491,982.65,ns,,,,,,0,7
"BM_run/8/iterations:100",100,1334.82,1337.5,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1135.8,1137.82,ns,,,,,,0,9
"BM_run/10/iterations:100",100,1205.46,1207.46,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1505.71,1496.08,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1653.28,1656.98,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1733.6,1736.65,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1789.97,1793.62,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1608.52,1612.06,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1968.19,1960.11,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1957.65,1961.44,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2130.63,2134.09,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1863.58,1866.85,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2332.66,2324.06,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2604.43,2607.07,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2586.58,2591.06,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2615.96,2609.77,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2843.92,2849.71,ns,,,,,,0,600
"BM_run/700/iterations:100",100,3046.6,3051.2,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2953.25,2945.52,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2929.51,2933.91,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2998.55,3002.4,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3427.39,3422.25,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3891.4,3895.65,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3995.02,3988.86,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4893.37,4897.66,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4793.51,4789.41,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,4953.5,4958.92,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4825.16,4819.33,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,6217.69,6213.38,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,6325.61,6331.39,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,7558.34,7551.98,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,7689.41,7681.09,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,10263.7,10252.8,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,10270.9,10248.4,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,10330.4,10316.9,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,15192.9,15182.7,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,15288.7,15263.9,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,15348.4,15323.2,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,15372.2,15358.5,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,16533.9,16505.6,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,17611.9,17574.8,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,18624.3,18582.5,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,20941.7,20875.8,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,22797.8,22726.5,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,24875.3,24809.9,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,29086.8,28953.2,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,31232.3,31131.7,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,36408.8,36263.6,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,71808.8,71697.1,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,105751,105619,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,124221,123960,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,151278,150936,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,172829,172430,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,213208,212907,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,280630,280188,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,283023,282297,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,326151,325245,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,624700,623453,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,896484,894731,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,2.24181e+06,2.23831e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,2.62646e+06,2.62273e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,3.08986e+06,3.08567e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,3.87765e+06,3.87204e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,4.10787e+06,4.10213e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,4.72227e+06,4.71587e+06,ns,,,,,,0,9e+07
