Data structure size: 91805132736 bits, construction time: 608263857364 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,276.99,251.89,ns,,,,,,0,1
"BM_run/2/iterations:100",100,367.716,368.56,ns,,,,,,0,2
"BM_run/3/iterations:100",100,483.539,485.03,ns,,,,,,0,3
"BM_run/4/iterations:100",100,778.643,779.93,ns,,,,,,0,4
"BM_run/5/iterations:100",100,806.671,808.01,ns,,,,,,0,5
"BM_run/6/iterations:100",100,1177.18,1164.72,ns,,,,,,0,6
"BM_run/7/iterations:100",100,1286.09,1287.33,ns,,,,,,0,7
"BM_run/8/iterations:100",100,1694.2,1696.46,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1507.86,1509.82,ns,,,,,,0,9
"BM_run/10/iterations:100",100,1658.55,1661.53,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2053.7,2046.74,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2127.71,2130.65,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2357.99,2361.26,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2278.39,2281.79,ns,,,,,,0,50
"BM_run/60/iterations:100",100,2247.25,2242.45,ns,,,,,,0,60
"BM_run/70/iterations:100",100,2511.99,2515.96,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2504.95,2508.56,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2536.51,2539.56,ns,,,,,,0,90
"BM_run/100/iterations:100",100,2473.7,2478.17,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2804.06,2810.81,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2984.63,2990.32,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2976.72,2971,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2967.95,2974.68,ns,,,,,,0,500
"BM_run/600/iterations:100",100,3234.1,3230.4,ns,,,,,,0,600
"BM_run/700/iterations:100",100,3244.6,3251.42,ns,,,,,,0,700
"BM_run/800/iterations:100",100,3266.56,3272.6,ns,,,,,,0,800
"BM_run/900/iterations:100",100,3230.38,3226.18,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,3279.28,3285.63,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3502.77,3508.43,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3916.41,3911.19,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,4018.08,4022.39,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4413.03,4410.18,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4381.61,4388.02,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,4407.69,4405.46,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4371.69,4377.86,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,5043.32,5040.44,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,5082.6,5077.59,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,6229.6,6233.2,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,6359.16,6350.13,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,8289.69,8290.28,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,8372.41,8362.06,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,8545.65,8531.08,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,12148.1,12139.9,ns,,,,,,8,70000
"BM_run/80000/iterations:100",100,12193.4,12180.5,ns,,,,,,12,80000
"BM_run/90000/iterations:100",100,12287.9,12287.8,ns,,,,,,28,90000
"BM_run/100000/iterations:100",100,12277.2,12265.3,ns,,,,,,28,100000
"BM_run/200000/iterations:100",100,12582.2,12569.6,ns,,,,,,70,200000
"BM_run/300000/iterations:100",100,12790.9,12766.2,ns,,,,,,85,300000
"BM_run/400000/iterations:100",100,12997.1,12973.4,ns,,,,,,83,400000
"BM_run/500000/iterations:100",100,13427.7,13380.4,ns,,,,,,90,500000
"BM_run/600000/iterations:100",100,13798.6,13744.3,ns,,,,,,83,600000
"BM_run/700000/iterations:100",100,14126.3,14044.2,ns,,,,,,86,700000
"BM_run/800000/iterations:100",100,14564.4,14451.4,ns,,,,,,89,800000
"BM_run/900000/iterations:100",100,14508.9,14365.3,ns,,,,,,92,900000
"BM_run/1000000/iterations:100",100,14517.9,14378.7,ns,,,,,,97,1e+06
"BM_run/2000000/iterations:100",100,15775,15662.8,ns,,,,,,95,2e+06
"BM_run/3000000/iterations:100",100,16211.8,16072.8,ns,,,,,,98,3e+06
"BM_run/4000000/iterations:100",100,16218.6,16057.4,ns,,,,,,99,4e+06
"BM_run/5000000/iterations:100",100,16775.5,16584.3,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,16952.6,16749.5,ns,,,,,,100,6e+06
"BM_run/7000000/iterations:100",100,17038.4,16841.7,ns,,,,,,99,7e+06
"BM_run/8000000/iterations:100",100,17087.1,16919,ns,,,,,,100,8e+06
"BM_run/9000000/iterations:100",100,17333,17144,ns,,,,,,97,9e+06
"BM_run/10000000/iterations:100",100,17631.6,17416.7,ns,,,,,,100,1e+07
"BM_run/20000000/iterations:100",100,18371.8,18098.3,ns,,,,,,99,2e+07
"BM_run/30000000/iterations:100",100,25071.3,24810.2,ns,,,,,,99,3e+07
"BM_run/40000000/iterations:100",100,877570,876320,ns,,,,,,99,4e+07
"BM_run/50000000/iterations:100",100,1.06454e+06,1.06322e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.28389e+06,1.28229e+06,ns,,,,,,100,6e+07
"BM_run/70000000/iterations:100",100,1.47757e+06,1.47557e+06,ns,,,,,,100,7e+07
