Data structure size: 91805747136 bits, construction time: 236160942789 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,255.881,232.21,ns,,,,,,0,1
"BM_run/2/iterations:100",100,323.909,322.78,ns,,,,,,0,2
"BM_run/3/iterations:100",100,440.797,439.36,ns,,,,,,0,3
"BM_run/4/iterations:100",100,695.803,694.26,ns,,,,,,0,4
"BM_run/5/iterations:100",100,708.501,709.48,ns,,,,,,0,5
"BM_run/6/iterations:100",100,867.081,866.94,ns,,,,,,0,6
"BM_run/7/iterations:100",100,927.733,929.01,ns,,,,,,0,7
"BM_run/8/iterations:100",100,1323.21,1313.34,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1113.42,1114.67,ns,,,,,,0,9
"BM_run/10/iterations:100",100,1226.03,1227.12,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1439.69,1441.01,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1653.66,1655.1,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1729.77,1742.42,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1811.64,1813.62,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1654.4,1656.95,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1909.14,1911.98,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1979.44,1981.52,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2096.13,2087.17,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1871.24,1872.69,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2295.49,2299.01,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2590.65,2595.08,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2632.73,2627.49,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2611.75,2617.66,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2860.55,2866.33,ns,,,,,,0,600
"BM_run/700/iterations:100",100,3057.64,3041.07,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2920.82,2926.41,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2935.65,2940.37,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,3021.86,3015.23,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3452.72,3458.09,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3971.79,3966.86,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3993.42,3999.67,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4841.94,4837.46,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4766.85,4772.79,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,4967.43,4960.38,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4850.22,4855.98,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,6164.77,6167.11,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,6315.21,6308.91,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,7612.75,7605.88,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,7749.71,7762.11,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,10475.8,10461.2,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,10384.8,10371,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,10457,10430,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,15339.9,15316.2,ns,,,,,,8,70000
"BM_run/80000/iterations:100",100,15214.4,15196.4,ns,,,,,,12,80000
"BM_run/90000/iterations:100",100,15429.6,15406.6,ns,,,,,,28,90000
"BM_run/100000/iterations:100",100,15519.1,15499.3,ns,,,,,,28,100000
"BM_run/200000/iterations:100",100,15865.9,15841.6,ns,,,,,,70,200000
"BM_run/300000/iterations:100",100,15976.2,15946,ns,,,,,,85,300000
"BM_run/400000/iterations:100",100,16182.7,16138.8,ns,,,,,,83,400000
"BM_run/500000/iterations:100",100,16831.9,16767.4,ns,,,,,,90,500000
"BM_run/600000/iterations:100",100,17151.5,17073.1,ns,,,,,,83,600000
"BM_run/700000/iterations:100",100,17161.6,17062.8,ns,,,,,,86,700000
"BM_run/800000/iterations:100",100,17525.1,17405.2,ns,,,,,,89,800000
"BM_run/900000/iterations:100",100,17641,17477.1,ns,,,,,,92,900000
"BM_run/1000000/iterations:100",100,17806.3,17631.8,ns,,,,,,97,1e+06
"BM_run/2000000/iterations:100",100,17983.2,17866.2,ns,,,,,,95,2e+06
"BM_run/3000000/iterations:100",100,18062.8,17920.9,ns,,,,,,98,3e+06
"BM_run/4000000/iterations:100",100,18621.5,18460.4,ns,,,,,,99,4e+06
"BM_run/5000000/iterations:100",100,19078.6,18867.6,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,19297.5,19111.7,ns,,,,,,100,6e+06
"BM_run/7000000/iterations:100",100,19156.8,18943.2,ns,,,,,,99,7e+06
"BM_run/8000000/iterations:100",100,19317.4,19105.2,ns,,,,,,100,8e+06
"BM_run/9000000/iterations:100",100,19709.6,19465.3,ns,,,,,,97,9e+06
"BM_run/10000000/iterations:100",100,19899.3,19632.9,ns,,,,,,100,1e+07
"BM_run/20000000/iterations:100",100,20549.4,20252.3,ns,,,,,,99,2e+07
"BM_run/30000000/iterations:100",100,27116.3,26759.6,ns,,,,,,99,3e+07
"BM_run/40000000/iterations:100",100,895395,894054,ns,,,,,,99,4e+07
"BM_run/50000000/iterations:100",100,1.08845e+06,1.08712e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.30839e+06,1.30682e+06,ns,,,,,,100,6e+07
"BM_run/70000000/iterations:100",100,1.50877e+06,1.50689e+06,ns,,,,,,100,7e+07
"BM_run/80000000/iterations:100",100,1.74455e+06,1.7425e+06,ns,,,,,,100,8e+07
"BM_run/90000000/iterations:100",100,1.93305e+06,1.93066e+06,ns,,,,,,100,9e+07
