Data structure size: 91805137344 bits, construction time: 33001961127 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,265.811,246.05,ns,,,,,,0,1
"BM_run/2/iterations:100",100,339.921,340.54,ns,,,,,,0,2
"BM_run/3/iterations:100",100,450.708,452.21,ns,,,,,,0,3
"BM_run/4/iterations:100",100,730.728,732.85,ns,,,,,,0,4
"BM_run/5/iterations:100",100,763.212,756.51,ns,,,,,,0,5
"BM_run/6/iterations:100",100,1023.44,1026.36,ns,,,,,,0,6
"BM_run/7/iterations:100",100,1074.07,1076.61,ns,,,,,,0,7
"BM_run/8/iterations:100",100,1442.68,1446.55,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1239.8,1243.75,ns,,,,,,0,9
"BM_run/10/iterations:100",100,1372.64,1376.56,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1729.36,1725.78,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1830.25,1835.74,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1969.22,1974.73,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1928.71,1933.4,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1878.45,1884.87,ns,,,,,,0,60
"BM_run/70/iterations:100",100,2104.68,2089.47,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2025.13,2030.65,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1982.38,1987.8,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1913.56,1919.53,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2156.05,2150.99,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2203.36,2209.34,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2260.41,2265.98,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2225.42,2230.44,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2341.87,2338.19,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2390.74,2396.79,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2482.15,2487.59,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2457.45,2454.08,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2489.54,2494.94,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,2678.88,2684.58,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,2944.91,2941.39,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,2952.29,2958.38,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,3230.84,3236.73,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,3241.34,3238.02,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,3231.82,3238.07,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,3239.42,3246.54,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,3589.35,3587.29,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,3663.99,3670.82,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,4212.08,4206.46,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,4351.79,4344.25,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,5128.64,5129.72,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,5089.85,5081.63,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,5136.15,5133.34,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,6425.19,6413.72,ns,,,,,,8,70000
"BM_run/80000/iterations:100",100,6827.92,6813.31,ns,,,,,,12,80000
"BM_run/90000/iterations:100",100,6795.16,6784.61,ns,,,,,,28,90000
"BM_run/100000/iterations:100",100,6767.56,6759.22,ns,,,,,,28,100000
"BM_run/200000/iterations:100",100,6992.05,6982.94,ns,,,,,,70,200000
"BM_run/300000/iterations:100",100,7247.91,7229.53,ns,,,,,,85,300000
"BM_run/400000/iterations:100",100,7540.59,7512.44,ns,,,,,,83,400000
"BM_run/500000/iterations:100",100,7950.62,7924.06,ns,,,,,,90,500000
"BM_run/600000/iterations:100",100,8286.47,8241.45,ns,,,,,,83,600000
"BM_run/700000/iterations:100",100,8461.65,8378.05,ns,,,,,,86,700000
"BM_run/800000/iterations:100",100,8829.01,8694.58,ns,,,,,,89,800000
"BM_run/900000/iterations:100",100,8888.88,8768.08,ns,,,,,,92,900000
"BM_run/1000000/iterations:100",100,9170.43,9010.49,ns,,,,,,97,1e+06
"BM_run/2000000/iterations:100",100,11117,10981.1,ns,,,,,,95,2e+06
"BM_run/3000000/iterations:100",100,11710.4,11556.3,ns,,,,,,98,3e+06
"BM_run/4000000/iterations:100",100,11702.1,11534.5,ns,,,,,,99,4e+06
"BM_run/5000000/iterations:100",100,12259.7,12069.8,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,12459.9,12288.4,ns,,,,,,100,6e+06
"BM_run/7000000/iterations:100",100,12899.6,12709.1,ns,,,,,,99,7e+06
"BM_run/8000000/iterations:100",100,12942,12745.1,ns,,,,,,100,8e+06
"BM_run/9000000/iterations:100",100,13223.6,13018.5,ns,,,,,,97,9e+06
"BM_run/10000000/iterations:100",100,13284.5,13082.2,ns,,,,,,100,1e+07
"BM_run/20000000/iterations:100",100,14181.2,13911.6,ns,,,,,,99,2e+07
"BM_run/30000000/iterations:100",100,20824.9,20558.6,ns,,,,,,99,3e+07
"BM_run/40000000/iterations:100",100,911445,910173,ns,,,,,,99,4e+07
"BM_run/50000000/iterations:100",100,1.10391e+06,1.10248e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.3236e+06,1.32206e+06,ns,,,,,,100,6e+07
"BM_run/70000000/iterations:100",100,1.522e+06,1.52018e+06,ns,,,,,,100,7e+07
"BM_run/80000000/iterations:100",100,1.75775e+06,1.75566e+06,ns,,,,,,100,8e+07
"BM_run/90000000/iterations:100",100,1.94857e+06,1.94624e+06,ns,,,,,,100,9e+07
