Data structure size: 91805542720 bits, construction time: 147190694847 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1055.17,1035.22,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1392.71,1397.49,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1602.35,1607.37,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2045.51,2050.66,ns,,,,,,0,4
"BM_run/5/iterations:100",100,2044.34,2049.68,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2633.51,2640.21,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2595.95,2589.76,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2965.83,2969.89,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2614.44,2620.38,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2791.03,2773.61,ns,,,,,,0,10
"BM_run/20/iterations:100",100,3402.66,3407.82,ns,,,,,,0,20
"BM_run/30/iterations:100",100,3587.39,3593.48,ns,,,,,,0,30
"BM_run/40/iterations:100",100,3563.95,3560.02,ns,,,,,,0,40
"BM_run/50/iterations:100",100,3599.77,3604.53,ns,,,,,,0,50
"BM_run/60/iterations:100",100,3514.48,3508.46,ns,,,,,,0,60
"BM_run/70/iterations:100",100,4046.36,4053.02,ns,,,,,,0,70
"BM_run/80/iterations:100",100,4087.86,4093.05,ns,,,,,,0,80
"BM_run/90/iterations:100",100,3610.43,3607.55,ns,,,,,,0,90
"BM_run/100/iterations:100",100,3788.29,3794.03,ns,,,,,,0,100
"BM_run/200/iterations:100",100,4028.35,4024.89,ns,,,,,,0,200
"BM_run/300/iterations:100",100,4232.34,4237.75,ns,,,,,,0,300
"BM_run/400/iterations:100",100,4195.7,4181.76,ns,,,,,,0,400
"BM_run/500/iterations:100",100,4086.93,4092.09,ns,,,,,,0,500
"BM_run/600/iterations:100",100,4263.96,4260.13,ns,,,,,,0,600
"BM_run/700/iterations:100",100,4073.7,4078.91,ns,,,,,,0,700
"BM_run/800/iterations:100",100,4514.75,4521.78,ns,,,,,,0,800
"BM_run/900/iterations:100",100,4189.34,4184.43,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,4566.95,4571.37,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,4619.53,4613.83,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,4914.25,4921.35,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,4843.68,4850.03,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4990.66,4989.53,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4919.33,4927.81,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,5555.5,5562.65,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,5275.1,5283.09,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,5586.08,5591.46,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,6179.25,6179.32,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,6340.77,6333.47,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,6748.52,6748.13,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,7006.82,6993.98,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,6964.36,6963.33,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,7661.12,7645.23,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,7738.97,7727.23,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,8015.1,8001.61,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,8163.31,8160.16,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,8545.95,8524.21,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,11149.8,11134.7,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,14209.1,14189.4,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,16770.9,16726.1,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,19696.2,19646.2,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,22176.9,22127.8,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,25719.3,25631.3,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,28160.6,28034.1,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,30775.5,30635.6,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,33235.1,33105.6,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,95003.5,94894.8,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,136658,136494,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,179581,179243,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,226901,226560,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,266619,266240,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,311069,310711,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,352626,352226,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,397678,397152,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,438866,438315,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,872291,871096,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,1.31146e+06,1.30966e+06,ns,,,,,,0,3e+07
