Data structure size: 91805132736 bits, construction time: 553742516842 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1863.74,1844.14,ns,,,,,,0,1
"BM_run/2/iterations:100",100,3410.65,3417.83,ns,,,,,,0,2
"BM_run/3/iterations:100",100,4152.47,4160.12,ns,,,,,,0,3
"BM_run/4/iterations:100",100,5438.75,5430.96,ns,,,,,,0,4
"BM_run/5/iterations:100",100,4430.25,4424.77,ns,,,,,,0,5
"BM_run/6/iterations:100",100,4437.58,4442.2,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3737.76,3742.42,ns,,,,,,0,7
"BM_run/8/iterations:100",100,4057.27,4051.77,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3774.77,3779.46,ns,,,,,,0,9
"BM_run/10/iterations:100",100,3232.17,3227.99,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2880.17,2882.9,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2741.81,2743.79,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2829.47,2824.35,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2665.25,2666.94,ns,,,,,,0,50
"BM_run/60/iterations:100",100,2583,2585.84,ns,,,,,,0,60
"BM_run/70/iterations:100",100,2595.8,2597.49,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2416.1,2408.93,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2620.01,2623.1,ns,,,,,,0,90
"BM_run/100/iterations:100",100,2466.32,2469.25,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2666.13,2660.62,ns,,,,,,0,200
"BM_run/300/iterations:100",100,3084.73,3090.14,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2776.29,2782.2,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2775.81,2771.23,ns,,,,,,0,500
"BM_run/600/iterations:100",100,3242.59,3249.12,ns,,,,,,0,600
"BM_run/700/iterations:100",100,3084.67,3090.42,ns,,,,,,0,700
"BM_run/800/iterations:100",100,3126.76,3122.51,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2992.98,2998.58,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,3042.01,3047.52,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3395.26,3392.7,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3678.95,3684.29,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3804.78,3796.89,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4100.89,4107.11,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4160.3,4157.79,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,4139.06,4144.81,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4139.46,4145.86,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,4861.45,4867.17,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,4868.92,4864.54,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,6118.43,6121.44,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,6286.26,6279.47,ns,,,,,,0,30000
