Data structure size: 91888813824 bits, construction time: 80664271769 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1598.59,1568.4,ns,,,,,,0,1
"BM_run/2/iterations:100",100,3149.99,3157.33,ns,,,,,,0,2
"BM_run/3/iterations:100",100,3757.04,3762.75,ns,,,,,,0,3
"BM_run/4/iterations:100",100,4826.99,4822.76,ns,,,,,,0,4
"BM_run/5/iterations:100",100,3987.69,3994.15,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3899,3892.86,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3092.74,3097.25,ns,,,,,,0,7
"BM_run/8/iterations:100",100,3494.43,3498.29,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3224.91,3215.78,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2642.82,2645.92,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2129.78,2132.87,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2011.13,2001.49,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1846.94,1849.51,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1658.98,1662.39,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1593.94,1597.21,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1520.31,1522.42,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1363.87,1355.68,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1568.84,1570.28,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1365.67,1366.67,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1474.91,1479.73,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1791.04,1797.23,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1462.33,1456.09,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1503.88,1508.57,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1817.18,1823.9,ns,,,,,,0,600
"BM_run/700/iterations:100",100,1688.01,1696.95,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1706.32,1711.26,ns,,,,,,0,800
"BM_run/900/iterations:100",100,1638.11,1632.31,ns,,,,,,0,900
