Data structure size: 91805137344 bits, construction time: 65401213429 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1863.11,1847.47,ns,,,,,,0,1
"BM_run/2/iterations:100",100,3378.95,3387.1,ns,,,,,,0,2
"BM_run/3/iterations:100",100,4313.8,4309.72,ns,,,,,,0,3
"BM_run/4/iterations:100",100,5044.91,5053.06,ns,,,,,,0,4
"BM_run/5/iterations:100",100,4420.1,4416.59,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3985.64,3992.3,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3612.15,3607.62,ns,,,,,,0,7
"BM_run/8/iterations:100",100,3807.65,3814.55,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3426.72,3432.34,ns,,,,,,0,9
"BM_run/10/iterations:100",100,3233.29,3215.6,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2420.98,2425.81,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2322.27,2326.1,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2610.61,2605.58,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2234.98,2239.77,ns,,,,,,0,50
"BM_run/60/iterations:100",100,2050.13,2053.04,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1957.2,1961.18,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2092.43,2084.32,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2103.67,2109.13,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1851.2,1856.01,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2019.04,2023.29,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2532.23,2528.49,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2003.58,2009.28,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2002.35,2008.53,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2258.34,2265.65,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2204.1,2201.66,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2160.59,2166.48,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2091.73,2098.15,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2143.87,2149.25,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,2440,2436.28,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,2657.49,2663.82,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,2732.75,2741.09,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,2955.81,2952,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,3014.44,3019.96,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,2980.43,2986.52,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,3284.57,3282.91,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,3305.1,3312.48,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,3345.02,3340.12,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,3872.6,3877.02,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,4048.04,4039.46,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,4787.57,4787.63,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,4973.8,4973.88,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,5173.09,5165.29,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,6536.48,6522.65,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,6620.97,6620.09,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,6802.63,6778.74,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,6812.72,6802.93,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,8764.24,8742.99,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,12361.2,12337.4,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,13181.2,13143.2,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,15272.7,15234.1,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,22045,21978.7,ns,,,,,,10,600000
"BM_run/700000/iterations:100",100,24899.4,24784.5,ns,,,,,,26,700000
"BM_run/800000/iterations:100",100,27154.3,27052.3,ns,,,,,,39,800000
"BM_run/900000/iterations:100",100,27293.7,27189.7,ns,,,,,,44,900000
"BM_run/1000000/iterations:100",100,29800.4,29677.1,ns,,,,,,51,1e+06
"BM_run/2000000/iterations:100",100,49500,49315.8,ns,,,,,,76,2e+06
"BM_run/3000000/iterations:100",100,52360.7,52247.6,ns,,,,,,82,3e+06
