Data structure size: 91805235520 bits, construction time: 544567627957 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,12546.1,12515,ns,,,,,,0,1
"BM_run/2/iterations:100",100,16995.9,16995.8,ns,,,,,,0,2
"BM_run/3/iterations:100",100,16734.9,16727.2,ns,,,,,,0,3
"BM_run/4/iterations:100",100,17320.9,17312.5,ns,,,,,,0,4
"BM_run/5/iterations:100",100,16293.9,16285.4,ns,,,,,,0,5
"BM_run/6/iterations:100",100,16365.5,16386.3,ns,,,,,,0,6
"BM_run/7/iterations:100",100,15367.4,15360.1,ns,,,,,,0,7
"BM_run/8/iterations:100",100,15020.2,15021.4,ns,,,,,,0,8
"BM_run/9/iterations:100",100,14997,14988,ns,,,,,,0,9
"BM_run/10/iterations:100",100,13650.9,13642.5,ns,,,,,,0,10
"BM_run/20/iterations:100",100,15277.5,15269.2,ns,,,,,,0,20
"BM_run/30/iterations:100",100,16528.2,16519.5,ns,,,,,,0,30
"BM_run/40/iterations:100",100,15484,15485.5,ns,,,,,,0,40
"BM_run/50/iterations:100",100,16280.9,16272.4,ns,,,,,,0,50
"BM_run/60/iterations:100",100,16242.4,16234.5,ns,,,,,,0,60
"BM_run/70/iterations:100",100,15422.6,15422.3,ns,,,,,,0,70
"BM_run/80/iterations:100",100,15408.6,15396,ns,,,,,,0,80
"BM_run/90/iterations:100",100,16310.5,16312.3,ns,,,,,,0,90
"BM_run/100/iterations:100",100,16293.4,16281.6,ns,,,,,,0,100
"BM_run/200/iterations:100",100,17150.2,17141.5,ns,,,,,,0,200
"BM_run/300/iterations:100",100,16186.4,16187.1,ns,,,,,,0,300
"BM_run/400/iterations:100",100,17112.3,17098.6,ns,,,,,,0,400
"BM_run/500/iterations:100",100,16305.1,16297,ns,,,,,,0,500
"BM_run/600/iterations:100",100,15780.9,15779.9,ns,,,,,,0,600
"BM_run/700/iterations:100",100,16256.4,16247.3,ns,,,,,,0,700
"BM_run/800/iterations:100",100,17152.7,17143.2,ns,,,,,,0,800
"BM_run/900/iterations:100",100,16289,16278.1,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,16841.3,16841.9,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,16685.5,16678.7,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,17077.7,17072.9,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,17653.8,17644.8,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,18828.6,18821.9,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,18647.2,18648.1,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,18643.6,18634.7,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,20214.7,20196.3,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,20085.5,20077.4,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,19273,19266.3,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,20794.4,20782.4,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,22646.2,22629.3,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,25973.3,25956.2,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,27804.8,27775.3,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,28104.5,28079.2,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,26093.7,26046.4,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,25680.6,25654.9,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,28692,28671.1,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,29862,29832.7,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,32691.2,32642,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,40397.4,40350.1,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,43841.4,43782.9,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,50524.8,50433.8,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,55439.1,55374.7,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,62549.3,62416.3,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,65940.7,65813.4,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,74613.6,74469.9,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,76925.6,76729.9,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,161948,161790,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,231714,231427,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,295829,295406,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,364311,363859,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,431214,430701,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,502368,501720,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,567284,566619,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,636932,636039,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,707771,706906,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,1.38049e+06,1.37875e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,2.0659e+06,2.06332e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,3.75049e+06,3.74586e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,4.39493e+06,4.38969e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,5.50027e+06,5.49363e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,6.41369e+06,6.40608e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,7.23324e+06,7.22502e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,8.21956e+06,8.20924e+06,ns,,,,,,0,9e+07
