Data structure size: 40265319552 bits, construction time: 11485154313 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,321.73,299.95,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1166.51,1160.19,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1406.88,1409.12,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2468.67,2472.33,ns,,,,,,0,4
"BM_run/5/iterations:100",100,3071.96,3075.77,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3307.07,3299.82,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3115.47,3119.68,ns,,,,,,0,7
"BM_run/8/iterations:100",100,3492.19,3495.62,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3411.36,3406.57,ns,,,,,,0,9
"BM_run/10/iterations:100",100,3428.84,3432.49,ns,,,,,,0,10
"BM_run/20/iterations:100",100,3828.79,3822.89,ns,,,,,,0,20
"BM_run/30/iterations:100",100,4008.86,4014.02,ns,,,,,,0,30
"BM_run/40/iterations:100",100,3993.73,3998.46,ns,,,,,,0,40
"BM_run/50/iterations:100",100,4064.81,4062.15,ns,,,,,,0,50
"BM_run/60/iterations:100",100,3887.66,3892.89,ns,,,,,,0,60
"BM_run/70/iterations:100",100,3980.33,3972.73,ns,,,,,,0,70
"BM_run/80/iterations:100",100,4094.51,4100.66,ns,,,,,,0,80
"BM_run/90/iterations:100",100,3840.63,3836.41,ns,,,,,,0,90
"BM_run/100/iterations:100",100,3742.14,3747.31,ns,,,,,,0,100
"BM_run/200/iterations:100",100,4105.08,4109.43,ns,,,,,,0,200
"BM_run/300/iterations:100",100,3947.56,3947.2,ns,,,,,,0,300
"BM_run/400/iterations:100",100,3753.97,3761.15,ns,,,,,,0,400
"BM_run/500/iterations:100",100,3850.12,3849.72,ns,,,,,,0,500
"BM_run/600/iterations:100",100,4048.74,4056.39,ns,,,,,,0,600
"BM_run/700/iterations:100",100,3817.1,3813.27,ns,,,,,,0,700
"BM_run/800/iterations:100",100,4003.64,4010.5,ns,,,,,,0,800
"BM_run/900/iterations:100",100,3895.51,3902.53,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,3923.44,3923.1,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3727.05,3733.57,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3860.08,3857.49,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3793.62,3799.43,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,3846.51,3843.42,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,3969.62,3974.76,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,3741.74,3739.33,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4020.72,4027.18,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,3754.53,3759.4,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,3980.03,3984.84,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,4104.23,4095.62,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,4341,4340.03,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,4624.22,4609.64,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,4546.42,4543.44,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,4612.39,4609.41,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,4738.53,4729.84,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,4810.35,4807.12,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,5222.83,5210.79,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,5060.23,5046.77,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,6699.89,6693.35,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,8125.15,8073.99,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,9631.21,9608.99,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,12047.1,12018.1,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,14899.6,14846.7,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,17422.9,17332.8,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,21577.4,21510.2,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,23472.7,23375.7,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,28626,28476.7,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,63336.8,63181,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,96536.6,96358.6,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,115455,115259,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,145035,144754,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,168172,167833,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,206950,206652,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,274879,274659,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,277146,276634,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,313860,313368,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,616985,615807,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,893012,891721,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,2.21931e+06,2.21616e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,2.59907e+06,2.59551e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,3.06712e+06,3.06311e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,3.84969e+06,3.84451e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,4.09439e+06,4.08926e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,4.70631e+06,4.70012e+06,ns,,,,,,0,9e+07
