Data structure size: 91805337536 bits, construction time: 129082457135 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,358.333,333.55,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1401.6,1405.17,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1634.36,1633.83,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2888.15,2888.45,ns,,,,,,0,4
"BM_run/5/iterations:100",100,2989.12,2977.12,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2823.11,2823.54,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2254.51,2254.6,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2295.68,2285.67,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2062.8,2063.82,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2112.19,2112.3,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1727.68,1729.11,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1635.64,1637.51,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1505.73,1487.85,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1477.85,1479.15,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1348.28,1348.78,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1441.34,1444.19,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1317.05,1318.32,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1273.14,1274.66,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1315.88,1308.15,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1446.95,1450.67,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1695.35,1697.63,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1298.92,1301.18,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1578.96,1581.22,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1644.05,1636.71,ns,,,,,,0,600
"BM_run/700/iterations:100",100,1564.56,1566.42,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1478.4,1481.3,ns,,,,,,0,800
"BM_run/900/iterations:100",100,1663.23,1666.16,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,1532.71,1536.03,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,1837.57,1832.06,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,1911.56,1915.18,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,2001.83,2005.82,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,2142.95,2145.63,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,2655.83,2650.97,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,2344.63,2348.52,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,2345.88,2350.39,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,3109.72,3105.3,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,2535.94,2538.34,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,3730.85,3722.41,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,3618.41,3619.01,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,4442.44,4441.66,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,4355.83,4344.14,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,4304.95,4303.24,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,4413.43,4397.72,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,4620.86,4617.24,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,4975.75,4974.58,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,4519.26,4514.76,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,5841.41,5819.96,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,7095.02,7062.15,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,8336.77,8295.07,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,10442.5,10415.3,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,12117.6,12043.8,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,14278,14215.2,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,18239,18152.4,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,20502.8,20403.1,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,25681.1,25595,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,61133,60986,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,92492.8,92399.6,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,113760,113570,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,142428,142152,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,164210,163962,ns,,,,,,0,6e+06
