Data structure size: 91805747136 bits, construction time: 208821069703 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,348.486,323.88,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1361.73,1362.99,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1593.69,1574.5,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2931.39,2933.17,ns,,,,,,0,4
"BM_run/5/iterations:100",100,3006.05,3008.03,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2753.24,2744.49,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2266.91,2269.43,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2340.05,2342.39,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2129,2132.12,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2233.97,2226.32,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1828.59,1831.26,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1776.71,1779.43,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1711.51,1713.92,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1656.68,1660.5,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1764.66,1757.67,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1896.52,1900.52,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1800.52,1803.95,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1789.23,1793.02,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1831.05,1824.58,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2211.45,2215.01,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2548.54,2553.98,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2442.75,2446.91,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2508.24,2503.09,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2822.02,2827.1,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2794.29,2799.92,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2864.03,2859.22,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2789.84,2796.35,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2712.51,2718.66,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3205.97,3202.67,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3710.74,3715.97,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3844.7,3851.32,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4642.29,4648.43,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4768.34,4764.8,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,4689.96,4696.52,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4750.19,4746.3,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,6183.94,6189.84,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,6184.79,6182.13,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,7434.91,7429.66,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,7712.79,7703.04,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,10243.8,10234.5,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,10367,10363.4,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,10296.6,10277.4,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,10458.6,10447.6,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,10421.1,10398.7,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,10543.6,10541.4,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,10391.4,10378.2,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,11428.2,11403.8,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,12640.1,12627.8,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,14106.8,14089,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,16104.7,16057.2,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,17849.2,17802.4,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,20426.8,20281.9,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,24104.8,24021.8,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,26759.1,26553.2,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,31452.8,31349.9,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,65997,65904.1,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,98879.3,98686.6,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,118163,117915,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,146670,146462,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,168393,168103,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,207581,207246,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,275361,275093,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,275832,275399,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,313881,313359,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,616161,614512,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,893410,892063,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,2.23254e+06,2.22931e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,2.61726e+06,2.61351e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,3.08435e+06,3.07945e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,3.88158e+06,3.8756e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,4.11846e+06,4.11294e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,4.7357e+06,4.7294e+06,ns,,,,,,0,9e+07
