Data structure size: 91805337536 bits, construction time: 128832827452 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,341.937,324.85,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1352.81,1352.07,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1723.36,1701.24,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2934.49,2938.32,ns,,,,,,0,4
"BM_run/5/iterations:100",100,2986.41,2989.94,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2868.3,2861.02,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2206.84,2209.81,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2269.49,2272.29,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2017.5,2019.4,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2059.73,2060.85,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1642.85,1645.72,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1625.34,1627.06,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1502.63,1504.65,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1463.58,1465.33,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1370.67,1370.32,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1426.19,1427.92,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1282.12,1283.35,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1248.69,1250.17,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1283.83,1285.66,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1425.8,1427.3,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1647.03,1640.84,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1350.25,1351.3,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1545.26,1546.93,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1597.91,1598.86,ns,,,,,,0,600
"BM_run/700/iterations:100",100,1554.89,1555.93,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1509.89,1502.88,ns,,,,,,0,800
"BM_run/900/iterations:100",100,1673.88,1675.44,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,1556.36,1557.4,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,1816.45,1819.52,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,1948.14,1949.79,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,2045.88,2040.43,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,2191.22,2193.14,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,2400.75,2403.16,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,2386.19,2379.27,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,2383.53,2385.45,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,2839.52,2840.64,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,2878.23,2870.8,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,3474.46,3474.71,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,3599.2,3588.95,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,4182.14,4179.88,ns,,,,,,4,40000
"BM_run/50000/iterations:100",100,4361.65,4348.56,ns,,,,,,21,50000
"BM_run/60000/iterations:100",100,4292.08,4279,ns,,,,,,34,60000
"BM_run/70000/iterations:100",100,4301.42,4290.79,ns,,,,,,44,70000
"BM_run/80000/iterations:100",100,4213.9,4214.08,ns,,,,,,47,80000
"BM_run/90000/iterations:100",100,4412.78,4411.28,ns,,,,,,66,90000
"BM_run/100000/iterations:100",100,4184.11,4177,ns,,,,,,55,100000
"BM_run/200000/iterations:100",100,4407.68,4397.68,ns,,,,,,80,200000
"BM_run/300000/iterations:100",100,4645.21,4625.23,ns,,,,,,89,300000
"BM_run/400000/iterations:100",100,4949.84,4930.8,ns,,,,,,91,400000
"BM_run/500000/iterations:100",100,5205.27,5177.51,ns,,,,,,92,500000
"BM_run/600000/iterations:100",100,5152.69,5085.18,ns,,,,,,89,600000
"BM_run/700000/iterations:100",100,5556.7,5460.82,ns,,,,,,90,700000
"BM_run/800000/iterations:100",100,5638.53,5531.51,ns,,,,,,94,800000
"BM_run/900000/iterations:100",100,5782.27,5647.19,ns,,,,,,96,900000
"BM_run/1000000/iterations:100",100,6245.7,6079.8,ns,,,,,,97,1e+06
"BM_run/2000000/iterations:100",100,6866.24,6753.42,ns,,,,,,97,2e+06
"BM_run/3000000/iterations:100",100,7037.37,6931.7,ns,,,,,,100,3e+06
"BM_run/4000000/iterations:100",100,7066.41,6918.7,ns,,,,,,100,4e+06
"BM_run/5000000/iterations:100",100,7407.39,7243.49,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,7181.12,7006.8,ns,,,,,,100,6e+06
"BM_run/7000000/iterations:100",100,7278.33,7103.78,ns,,,,,,99,7e+06
"BM_run/8000000/iterations:100",100,7418.06,7255.34,ns,,,,,,100,8e+06
"BM_run/9000000/iterations:100",100,7453.65,7278.67,ns,,,,,,99,9e+06
"BM_run/10000000/iterations:100",100,7786.14,7604.77,ns,,,,,,100,1e+07
"BM_run/20000000/iterations:100",100,8180.81,7883.9,ns,,,,,,100,2e+07
"BM_run/30000000/iterations:100",100,14583.9,14131.5,ns,,,,,,99,3e+07
"BM_run/40000000/iterations:100",100,844426,843394,ns,,,,,,100,4e+07
"BM_run/50000000/iterations:100",100,1.03728e+06,1.03606e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.26138e+06,1.2598e+06,ns,,,,,,100,6e+07
"BM_run/70000000/iterations:100",100,1.46128e+06,1.45941e+06,ns,,,,,,100,7e+07
"BM_run/80000000/iterations:100",100,1.70086e+06,1.69854e+06,ns,,,,,,100,8e+07
"BM_run/90000000/iterations:100",100,1.89371e+06,1.8915e+06,ns,,,,,,100,9e+07
