Data structure size: 91805747136 bits, construction time: 205252404814 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,339.774,321.51,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1359.83,1350.62,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1579.67,1581.47,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2867.23,2869.15,ns,,,,,,0,4
"BM_run/5/iterations:100",100,2865.47,2868.24,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2745.8,2730.39,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2125.92,2128.24,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2281.58,2283.89,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2058.65,2061.46,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2210.2,2206.68,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1806.25,1810.15,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1735.56,1738.95,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1706.81,1710.79,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1654.03,1646.27,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1713.88,1717.95,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1872.77,1876.38,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1791.26,1794.14,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1727.23,1729.9,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1792.23,1784.68,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2189.25,2192.95,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2523.87,2528.31,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2397.52,2402.19,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2464.24,2459.62,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2797.52,2802.59,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2770.51,2775.57,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2824.58,2817.75,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2783.2,2788.22,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2704.63,2709.52,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3155.15,3147.81,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3676.47,3681.89,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3876.62,3882.48,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4646.36,4642.43,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4761.09,4756.89,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,4648.87,4653.89,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4682.14,4678.15,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,6092.7,6097.19,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,6037.06,6032.01,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,7312.79,7307.26,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,7569.42,7559.27,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,10457.3,10430.7,ns,,,,,,4,40000
"BM_run/50000/iterations:100",100,10366.8,10351.9,ns,,,,,,21,50000
"BM_run/60000/iterations:100",100,10339.3,10310.8,ns,,,,,,34,60000
"BM_run/70000/iterations:100",100,10435.2,10432.8,ns,,,,,,44,70000
"BM_run/80000/iterations:100",100,10487.2,10471.5,ns,,,,,,47,80000
"BM_run/90000/iterations:100",100,10380.9,10367.9,ns,,,,,,66,90000
"BM_run/100000/iterations:100",100,10187.8,10177.6,ns,,,,,,55,100000
"BM_run/200000/iterations:100",100,10365.6,10358.1,ns,,,,,,80,200000
"BM_run/300000/iterations:100",100,10625.4,10598.1,ns,,,,,,89,300000
"BM_run/400000/iterations:100",100,11001.4,10972.8,ns,,,,,,91,400000
"BM_run/500000/iterations:100",100,11102.7,11059,ns,,,,,,92,500000
"BM_run/600000/iterations:100",100,11257.8,11203.3,ns,,,,,,89,600000
"BM_run/700000/iterations:100",100,11779.2,11693.9,ns,,,,,,90,700000
"BM_run/800000/iterations:100",100,11726.9,11611.1,ns,,,,,,94,800000
"BM_run/900000/iterations:100",100,12384.3,12234.6,ns,,,,,,96,900000
"BM_run/1000000/iterations:100",100,11830.1,11694.1,ns,,,,,,97,1e+06
"BM_run/2000000/iterations:100",100,12037.8,11915.5,ns,,,,,,97,2e+06
"BM_run/3000000/iterations:100",100,12274.3,12153.3,ns,,,,,,100,3e+06
"BM_run/4000000/iterations:100",100,12322,12172.4,ns,,,,,,100,4e+06
