Data structure size: 91888813824 bits, construction time: 35480479679 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,337.589,313.89,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1330.72,1331.69,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1515.96,1516.91,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2807.85,2810.32,ns,,,,,,0,4
"BM_run/5/iterations:100",100,2847.19,2838.27,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2641.87,2643.87,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2130.05,2133.08,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2203.82,2206.45,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1998.85,1999.42,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2012.23,2013.46,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1593.01,1595.31,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1564.82,1567.55,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1455.76,1459.24,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1365.62,1367.75,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1334.63,1336.95,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1444.38,1448.32,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1303.78,1307.23,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1315.05,1318.41,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1287.44,1289.96,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1428.98,1430.23,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1593.24,1597.72,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1411.43,1415.42,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1482.5,1486.54,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1706.62,1710.78,ns,,,,,,0,600
"BM_run/700/iterations:100",100,1602.04,1595.76,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1593.94,1598.24,ns,,,,,,0,800
"BM_run/900/iterations:100",100,1552.45,1556.41,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,1573.95,1578.82,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,1711.13,1716.37,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,1821.42,1815.57,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,1795.47,1801.78,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,2001.6,2006.31,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,2069.03,2074.01,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,2037.92,2031.74,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,2002.88,2008.72,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,2344.57,2350.43,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,2187.05,2191.51,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,2705.26,2708.37,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,2790.98,2791.06,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,3420.11,3411.61,ns,,,,,,4,40000
"BM_run/50000/iterations:100",100,3362.13,3359.15,ns,,,,,,21,50000
"BM_run/60000/iterations:100",100,3329.61,3328.47,ns,,,,,,34,60000
"BM_run/70000/iterations:100",100,3386.97,3385.25,ns,,,,,,44,70000
"BM_run/80000/iterations:100",100,3433.19,3433.4,ns,,,,,,47,80000
"BM_run/90000/iterations:100",100,3526.9,3515.74,ns,,,,,,66,90000
"BM_run/100000/iterations:100",100,3346.07,3346.08,ns,,,,,,55,100000
"BM_run/200000/iterations:100",100,3477.5,3468.28,ns,,,,,,80,200000
"BM_run/300000/iterations:100",100,3653.28,3645.63,ns,,,,,,89,300000
"BM_run/400000/iterations:100",100,3858.7,3842.67,ns,,,,,,91,400000
"BM_run/500000/iterations:100",100,4145.84,4109.13,ns,,,,,,92,500000
"BM_run/600000/iterations:100",100,4323.43,4284.55,ns,,,,,,89,600000
"BM_run/700000/iterations:100",100,4590.53,4511.17,ns,,,,,,90,700000
"BM_run/800000/iterations:100",100,4671.48,4573.15,ns,,,,,,94,800000
"BM_run/900000/iterations:100",100,4880.03,4742.83,ns,,,,,,96,900000
"BM_run/1000000/iterations:100",100,4976.09,4853.67,ns,,,,,,97,1e+06
"BM_run/2000000/iterations:100",100,5675.62,5581.8,ns,,,,,,97,2e+06
"BM_run/3000000/iterations:100",100,5926.69,5829.06,ns,,,,,,100,3e+06
"BM_run/4000000/iterations:100",100,5950.84,5818.37,ns,,,,,,100,4e+06
"BM_run/5000000/iterations:100",100,6212.36,6084.22,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,6360.44,6211.06,ns,,,,,,100,6e+06
"BM_run/7000000/iterations:100",100,6327.03,6150.94,ns,,,,,,99,7e+06
"BM_run/8000000/iterations:100",100,6447.19,6274.96,ns,,,,,,100,8e+06
"BM_run/9000000/iterations:100",100,6604.97,6438.88,ns,,,,,,99,9e+06
"BM_run/10000000/iterations:100",100,6673.83,6434.97,ns,,,,,,100,1e+07
"BM_run/20000000/iterations:100",100,7110.54,6806.69,ns,,,,,,100,2e+07
"BM_run/30000000/iterations:100",100,13503.6,13246.2,ns,,,,,,99,3e+07
"BM_run/40000000/iterations:100",100,858767,857600,ns,,,,,,100,4e+07
"BM_run/50000000/iterations:100",100,1.04564e+06,1.04434e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.26397e+06,1.26247e+06,ns,,,,,,100,6e+07
"BM_run/70000000/iterations:100",100,1.45866e+06,1.4571e+06,ns,,,,,,100,7e+07
"BM_run/80000000/iterations:100",100,1.71547e+06,1.7136e+06,ns,,,,,,100,8e+07
"BM_run/90000000/iterations:100",100,1.90557e+06,1.90345e+06,ns,,,,,,100,9e+07
