Data structure size: 91805137344 bits, construction time: 33572217582 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,368.919,343.34,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1356.47,1356.45,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1585.33,1587.02,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2884.58,2888.08,ns,,,,,,0,4
"BM_run/5/iterations:100",100,2967.87,2968.09,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2850.37,2853.49,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2289.76,2294,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2512.32,2505.62,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2267.93,2272.6,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2310.9,2314.87,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2033.25,2038.44,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1992.95,1988.2,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1902.26,1908.05,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1777.89,1776.25,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1711.55,1716.65,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1822.86,1818.99,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1708.78,1713.95,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1740.79,1745.77,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1707.3,1712.36,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1804.2,1809.74,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2093.06,2087.66,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1917.1,1922.74,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1957.86,1963.62,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2116.5,2122.29,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2031.3,2043.58,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1986.16,1992.11,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2035.95,2041.53,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2033.37,2039.77,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,2308.89,2304.62,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,2486.36,2492.37,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,2538.52,2545.07,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,2874.13,2868.94,ns,,,,,,0,5000
