Data structure size: 13421773248 bits, construction time: 3381125530 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,233.12,212.01,ns,,,,,,0,1
"BM_run/2/iterations:100",100,930.734,931.66,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1113.13,1114.81,ns,,,,,,0,3
"BM_run/4/iterations:100",100,1689.65,1691.91,ns,,,,,,0,4
"BM_run/5/iterations:100",100,1759.15,1741.84,ns,,,,,,0,5
"BM_run/6/iterations:100",100,1866.11,1868.29,ns,,,,,,0,6
"BM_run/7/iterations:100",100,1728.33,1730.61,ns,,,,,,0,7
"BM_run/8/iterations:100",100,1949.21,1951.8,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1875.3,1875.84,ns,,,,,,0,9
"BM_run/10/iterations:100",100,1977.22,1979.93,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2006.07,2008.33,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2315.3,2317.69,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2403.11,2392.72,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2304.26,2306.84,ns,,,,,,0,50
"BM_run/60/iterations:100",100,2313.7,2315.68,ns,,,,,,0,60
"BM_run/70/iterations:100",100,2443.06,2445.32,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2530.49,2523.94,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2418.17,2420.93,ns,,,,,,0,90
"BM_run/100/iterations:100",100,2374.32,2377.39,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2471.3,2473.95,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2456.8,2448.11,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2413.99,2415.97,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2486.34,2488.18,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2513.66,2499.24,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2472.05,2473.73,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2559.35,2561.42,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2570.51,2572.45,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2606.36,2587.49,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,2743.27,2743.63,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,2943.82,2945.25,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3199.89,3191.06,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,3502.9,3503.91,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,3703,3694.75,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,3967.61,3969.42,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,3947.74,3939.05,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,4220.25,4222.52,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,4439.51,4430.18,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,6468.99,6467.43,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,8921.71,8907.32,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,10625.7,10597.4,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,12648.4,12643.8,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,14313.7,14296.1,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,15978.5,15952.4,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,17645.4,17620.3,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,22174.4,22152.2,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,21468.8,21445,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,46453.2,46408.9,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,65543.9,65458.2,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,80368.8,80265.8,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,106480,106357,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,126257,126084,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,142404,142203,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,179395,179047,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,189753,189510,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,232679,232294,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,432133,430954,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,666904,665965,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,803572,802301,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,997454,995857,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,1.14867e+06,1.14689e+06,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,1.4409e+06,1.43871e+06,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,1.92283e+06,1.91995e+06,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,1.92339e+06,1.9206e+06,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,2.17983e+06,2.17637e+06,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,4.17129e+06,4.16475e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,5.97176e+06,5.96346e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,1.03492e+07,1.03364e+07,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,1.17641e+07,1.17487e+07,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,1.3629e+07,1.36129e+07,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,1.78022e+07,1.778e+07,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,1.79983e+07,1.79789e+07,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,2.09634e+07,2.09384e+07,ns,,,,,,0,9e+07
