Data structure size: 91805137344 bits, construction time: 30780570018 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,282.01,260.36,ns,,,,,,0,1
"BM_run/2/iterations:100",100,288.9,289.82,ns,,,,,,0,2
"BM_run/3/iterations:100",100,390.988,392.36,ns,,,,,,0,3
"BM_run/4/iterations:100",100,678.487,674.04,ns,,,,,,0,4
"BM_run/5/iterations:100",100,706.623,708.41,ns,,,,,,0,5
"BM_run/6/iterations:100",100,923.248,925.5,ns,,,,,,0,6
"BM_run/7/iterations:100",100,1019.69,1021.4,ns,,,,,,0,7
"BM_run/8/iterations:100",100,1371.91,1375.19,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1166.47,1169.37,ns,,,,,,0,9
"BM_run/10/iterations:100",100,1282.34,1285.42,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1623.22,1617.59,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1664.99,1667.91,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1737.7,1741.28,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1716.48,1722.79,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1584.26,1587.5,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1704.1,1700.85,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1691.81,1695.38,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1692.45,1695.85,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1639.86,1643.79,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1658.08,1661.72,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1667.9,1662.24,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1662.14,1665.47,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1665.43,1669.49,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1639.27,1644.05,ns,,,,,,0,600
"BM_run/700/iterations:100",100,1742.79,1755.86,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1667.43,1670.73,ns,,,,,,0,800
"BM_run/900/iterations:100",100,1627.14,1631.69,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,1615.36,1620.2,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,1589.5,1595.17,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,1606.24,1599.85,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,1597.11,1600.79,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,1642.95,1647.04,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,1696.4,1700.28,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,1651.01,1655.1,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,1704.42,1708.37,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,1697.28,1701.6,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,1716.34,1719.92,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,1849.18,1840.07,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,1956.85,1954.38,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,2052.24,2044.9,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,2158.42,2145.52,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,2247.4,2243.35,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,2310.15,2308.36,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,2287.48,2274.3,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,2455.84,2454.08,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,2546.23,2540.45,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,3668.06,3662.55,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,4755.82,4735.47,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,5776.84,5744.62,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,7890.74,7828.25,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,9952.73,9901.46,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,11820.4,11732.8,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,16035.7,15926.8,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,18317,18207.1,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,23665.7,23525.4,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,58106.5,57936.7,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,90286.5,90162.1,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,109963,109671,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,138007,137743,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,160497,160243,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,200713,200344,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,265811,265369,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,268419,267896,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,305600,305176,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,607690,606580,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,885370,883942,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,2.20645e+06,2.20345e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,2.58345e+06,2.57999e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,3.04646e+06,3.04218e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,3.83981e+06,3.83477e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,4.08118e+06,4.07587e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,4.68748e+06,4.6812e+06,ns,,,,,,0,9e+07
