Data structure size: 91805337536 bits, construction time: 140732533475 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,276.591,254.03,ns,,,,,,0,1
"BM_run/2/iterations:100",100,309.339,310.24,ns,,,,,,0,2
"BM_run/3/iterations:100",100,419.872,415.23,ns,,,,,,0,3
"BM_run/4/iterations:100",100,688.12,682.6,ns,,,,,,0,4
"BM_run/5/iterations:100",100,713.387,714.96,ns,,,,,,0,5
"BM_run/6/iterations:100",100,890.488,892.45,ns,,,,,,0,6
"BM_run/7/iterations:100",100,939.569,941.3,ns,,,,,,0,7
"BM_run/8/iterations:100",100,1095.3,1097.68,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1066.41,1068.12,ns,,,,,,0,9
"BM_run/10/iterations:100",100,1149.94,1151.67,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1273.8,1264.17,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1327.63,1330.72,ns,,,,,,18,30
"BM_run/40/iterations:100",100,1171.62,1174.16,ns,,,,,,38,40
"BM_run/50/iterations:100",100,1206.76,1210.06,ns,,,,,,53,50
"BM_run/60/iterations:100",100,1098.22,1100.69,ns,,,,,,59,60
"BM_run/70/iterations:100",100,1170.24,1173.08,ns,,,,,,62,70
"BM_run/80/iterations:100",100,1160.42,1163.26,ns,,,,,,76,80
"BM_run/90/iterations:100",100,1202.16,1194.17,ns,,,,,,72,90
"BM_run/100/iterations:100",100,1178.14,1180.68,ns,,,,,,80,100
"BM_run/200/iterations:100",100,1147.4,1149.12,ns,,,,,,86,200
"BM_run/300/iterations:100",100,1113.16,1115.48,ns,,,,,,86,300
"BM_run/400/iterations:100",100,1157.79,1160.41,ns,,,,,,93,400
"BM_run/500/iterations:100",100,1133.2,1135.42,ns,,,,,,94,500
"BM_run/600/iterations:100",100,1174.5,1167.07,ns,,,,,,97,600
"BM_run/700/iterations:100",100,1189.47,1191.72,ns,,,,,,93,700
"BM_run/800/iterations:100",100,1110,1111.58,ns,,,,,,99,800
"BM_run/900/iterations:100",100,1090.48,1092.35,ns,,,,,,98,900
"BM_run/1000/iterations:100",100,1146.91,1149.44,ns,,,,,,97,1000
"BM_run/2000/iterations:100",100,1122.25,1124.06,ns,,,,,,96,2000
"BM_run/3000/iterations:100",100,1145.01,1150.2,ns,,,,,,99,3000
"BM_run/4000/iterations:100",100,1142.13,1133.4,ns,,,,,,100,4000
"BM_run/5000/iterations:100",100,1078.8,1081.04,ns,,,,,,99,5000
"BM_run/6000/iterations:100",100,1156.62,1158.5,ns,,,,,,98,6000
"BM_run/7000/iterations:100",100,1093.13,1095.01,ns,,,,,,100,7000
"BM_run/8000/iterations:100",100,1166.09,1167.38,ns,,,,,,100,8000
"BM_run/9000/iterations:100",100,1097.53,1098.56,ns,,,,,,99,9000
"BM_run/10000/iterations:100",100,1095.47,1095.93,ns,,,,,,100,10000
"BM_run/20000/iterations:100",100,1129.46,1126.21,ns,,,,,,100,20000
"BM_run/30000/iterations:100",100,1156.56,1149.12,ns,,,,,,100,30000
"BM_run/40000/iterations:100",100,1141.53,1133.36,ns,,,,,,100,40000
"BM_run/50000/iterations:100",100,1197.39,1188.09,ns,,,,,,100,50000
"BM_run/60000/iterations:100",100,1158.46,1148.25,ns,,,,,,100,60000
"BM_run/70000/iterations:100",100,1219.27,1209.25,ns,,,,,,100,70000
"BM_run/80000/iterations:100",100,1181.1,1167.49,ns,,,,,,100,80000
"BM_run/90000/iterations:100",100,1186.95,1177.62,ns,,,,,,100,90000
"BM_run/100000/iterations:100",100,1141.11,1124.32,ns,,,,,,100,100000
"BM_run/200000/iterations:100",100,1180.94,1166.11,ns,,,,,,100,200000
"BM_run/300000/iterations:100",100,1242.27,1222.53,ns,,,,,,100,300000
"BM_run/400000/iterations:100",100,1197.01,1177.78,ns,,,,,,100,400000
"BM_run/500000/iterations:100",100,1313.28,1284.1,ns,,,,,,100,500000
"BM_run/600000/iterations:100",100,1349.79,1293.88,ns,,,,,,100,600000
"BM_run/700000/iterations:100",100,1465.94,1381.74,ns,,,,,,100,700000
"BM_run/800000/iterations:100",100,1586.09,1465.13,ns,,,,,,100,800000
"BM_run/900000/iterations:100",100,1509.92,1374.35,ns,,,,,,100,900000
"BM_run/1000000/iterations:100",100,1616.2,1459.27,ns,,,,,,100,1e+06
"BM_run/2000000/iterations:100",100,1618.06,1509.57,ns,,,,,,100,2e+06
"BM_run/3000000/iterations:100",100,1710.15,1581.93,ns,,,,,,100,3e+06
"BM_run/4000000/iterations:100",100,1902.47,1748.96,ns,,,,,,100,4e+06
"BM_run/5000000/iterations:100",100,1930.12,1778.09,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,1977.63,1790.47,ns,,,,,,100,6e+06
"BM_run/7000000/iterations:100",100,2013.24,1843.14,ns,,,,,,100,7e+06
"BM_run/8000000/iterations:100",100,2016.94,1821.15,ns,,,,,,100,8e+06
"BM_run/9000000/iterations:100",100,2134.5,1939.54,ns,,,,,,100,9e+06
"BM_run/10000000/iterations:100",100,2120.72,1897.25,ns,,,,,,100,1e+07
"BM_run/20000000/iterations:100",100,2333.68,2018.87,ns,,,,,,100,2e+07
"BM_run/30000000/iterations:100",100,8656.49,8347.32,ns,,,,,,100,3e+07
"BM_run/40000000/iterations:100",100,836826,835763,ns,,,,,,100,4e+07
"BM_run/50000000/iterations:100",100,1.02684e+06,1.0256e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.24627e+06,1.24481e+06,ns,,,,,,100,6e+07
"BM_run/70000000/iterations:100",100,1.44759e+06,1.44597e+06,ns,,,,,,100,7e+07
