Data structure size: 91805747136 bits, construction time: 218450290054 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,281.569,251.91,ns,,,,,,0,1
"BM_run/2/iterations:100",100,283.421,293.93,ns,,,,,,0,2
"BM_run/3/iterations:100",100,374.799,376.18,ns,,,,,,0,3
"BM_run/4/iterations:100",100,645.29,644.69,ns,,,,,,0,4
"BM_run/5/iterations:100",100,677.239,677.23,ns,,,,,,0,5
"BM_run/6/iterations:100",100,840.955,841.5,ns,,,,,,0,6
"BM_run/7/iterations:100",100,887.226,886.55,ns,,,,,,0,7
"BM_run/8/iterations:100",100,1132.77,1133.52,ns,,,,,,0,8
"BM_run/9/iterations:100",100,1024.65,1024.87,ns,,,,,,0,9
"BM_run/10/iterations:100",100,1213.18,1202.59,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1426.65,1428.43,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1444.55,1445.93,ns,,,,,,18,30
"BM_run/40/iterations:100",100,1431.35,1433.41,ns,,,,,,38,40
"BM_run/50/iterations:100",100,1384.16,1384.36,ns,,,,,,53,50
"BM_run/60/iterations:100",100,1401.47,1402.38,ns,,,,,,59,60
"BM_run/70/iterations:100",100,1451.26,1440.82,ns,,,,,,62,70
"BM_run/80/iterations:100",100,1429.3,1429.86,ns,,,,,,76,80
"BM_run/90/iterations:100",100,1401.04,1401.79,ns,,,,,,72,90
"BM_run/100/iterations:100",100,1416.5,1416.9,ns,,,,,,80,100
"BM_run/200/iterations:100",100,1436.07,1439.12,ns,,,,,,86,200
"BM_run/300/iterations:100",100,1335.53,1337.13,ns,,,,,,86,300
"BM_run/400/iterations:100",100,1410.8,1402.29,ns,,,,,,93,400
"BM_run/500/iterations:100",100,1351.13,1353.04,ns,,,,,,94,500
"BM_run/600/iterations:100",100,1352.09,1353.07,ns,,,,,,97,600
"BM_run/700/iterations:100",100,1319.46,1320.17,ns,,,,,,93,700
"BM_run/800/iterations:100",100,1383.29,1384.47,ns,,,,,,99,800
"BM_run/900/iterations:100",100,1364.06,1357.35,ns,,,,,,98,900
"BM_run/1000/iterations:100",100,1376.19,1377.65,ns,,,,,,97,1000
"BM_run/2000/iterations:100",100,1347.89,1351.18,ns,,,,,,96,2000
"BM_run/3000/iterations:100",100,1447.99,1451.19,ns,,,,,,99,3000
"BM_run/4000/iterations:100",100,1390.62,1393.64,ns,,,,,,100,4000
"BM_run/5000/iterations:100",100,1339.5,1331.7,ns,,,,,,99,5000
"BM_run/6000/iterations:100",100,1397.55,1400.32,ns,,,,,,98,6000
"BM_run/7000/iterations:100",100,1400.65,1402.94,ns,,,,,,100,7000
"BM_run/8000/iterations:100",100,1473.31,1476.27,ns,,,,,,100,8000
"BM_run/9000/iterations:100",100,1326.83,1328.66,ns,,,,,,99,9000
"BM_run/10000/iterations:100",100,1333.67,1325.56,ns,,,,,,100,10000
"BM_run/20000/iterations:100",100,1412.85,1410.54,ns,,,,,,100,20000
"BM_run/30000/iterations:100",100,1499.39,1492.46,ns,,,,,,100,30000
"BM_run/40000/iterations:100",100,1481.59,1460.14,ns,,,,,,100,40000
"BM_run/50000/iterations:100",100,1487.13,1477.75,ns,,,,,,100,50000
"BM_run/60000/iterations:100",100,1408.41,1390.86,ns,,,,,,100,60000
"BM_run/70000/iterations:100",100,1508.3,1499.05,ns,,,,,,100,70000
"BM_run/80000/iterations:100",100,1423.17,1402.43,ns,,,,,,100,80000
"BM_run/90000/iterations:100",100,1415.78,1397.71,ns,,,,,,100,90000
"BM_run/100000/iterations:100",100,1527.17,1516.09,ns,,,,,,100,100000
"BM_run/200000/iterations:100",100,1424.23,1410.17,ns,,,,,,100,200000
"BM_run/300000/iterations:100",100,1450.24,1432.03,ns,,,,,,100,300000
"BM_run/400000/iterations:100",100,1573.8,1541.7,ns,,,,,,100,400000
"BM_run/500000/iterations:100",100,1510.23,1469.21,ns,,,,,,100,500000
"BM_run/600000/iterations:100",100,1638.89,1563.82,ns,,,,,,100,600000
"BM_run/700000/iterations:100",100,1692.58,1591.59,ns,,,,,,100,700000
"BM_run/800000/iterations:100",100,1958.64,1811.48,ns,,,,,,100,800000
"BM_run/900000/iterations:100",100,1847.18,1695.65,ns,,,,,,100,900000
"BM_run/1000000/iterations:100",100,1954.5,1810.93,ns,,,,,,100,1e+06
"BM_run/2000000/iterations:100",100,1874.72,1770.91,ns,,,,,,100,2e+06
"BM_run/3000000/iterations:100",100,1977.57,1873.29,ns,,,,,,100,3e+06
"BM_run/4000000/iterations:100",100,2393.7,2238.8,ns,,,,,,100,4e+06
"BM_run/5000000/iterations:100",100,2340.15,2195.65,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,2463.45,2294.59,ns,,,,,,100,6e+06
"BM_run/7000000/iterations:100",100,2355.88,2185.72,ns,,,,,,100,7e+06
"BM_run/8000000/iterations:100",100,2470.82,2295.55,ns,,,,,,100,8e+06
"BM_run/9000000/iterations:100",100,2524.95,2352.11,ns,,,,,,100,9e+06
"BM_run/10000000/iterations:100",100,2469.43,2320.86,ns,,,,,,100,1e+07
"BM_run/20000000/iterations:100",100,2787.78,2480.44,ns,,,,,,100,2e+07
"BM_run/30000000/iterations:100",100,9052.15,8710.13,ns,,,,,,100,3e+07
"BM_run/40000000/iterations:100",100,853175,852106,ns,,,,,,100,4e+07
"BM_run/50000000/iterations:100",100,1.05475e+06,1.05335e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.28497e+06,1.28341e+06,ns,,,,,,100,6e+07
"BM_run/70000000/iterations:100",100,1.48998e+06,1.48789e+06,ns,,,,,,100,7e+07
"BM_run/80000000/iterations:100",100,1.72555e+06,1.72355e+06,ns,,,,,,100,8e+07
"BM_run/90000000/iterations:100",100,1.92725e+06,1.92505e+06,ns,,,,,,100,9e+07
