Data structure size: 91805235520 bits, construction time: 566857641851 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,4046.47,4024.75,ns,,,,,,0,1
"BM_run/2/iterations:100",100,5119.02,5117.37,ns,,,,,,0,2
"BM_run/3/iterations:100",100,5876.52,5882.3,ns,,,,,,0,3
"BM_run/4/iterations:100",100,7410.79,7410.35,ns,,,,,,0,4
"BM_run/5/iterations:100",100,7687.51,7686.53,ns,,,,,,0,5
"BM_run/6/iterations:100",100,10167.1,10164.3,ns,,,,,,0,6
"BM_run/7/iterations:100",100,8868.4,8865.24,ns,,,,,,0,7
"BM_run/8/iterations:100",100,10699.4,10695.1,ns,,,,,,0,8
"BM_run/9/iterations:100",100,9712.45,9709.25,ns,,,,,,0,9
"BM_run/10/iterations:100",100,10886.8,10881.9,ns,,,,,,0,10
"BM_run/20/iterations:100",100,13209,13198.9,ns,,,,,,0,20
"BM_run/30/iterations:100",100,14346.3,14335.9,ns,,,,,,0,30
"BM_run/40/iterations:100",100,14127,14124.8,ns,,,,,,0,40
"BM_run/50/iterations:100",100,15390.4,15378.3,ns,,,,,,0,50
"BM_run/60/iterations:100",100,16802.2,16791.2,ns,,,,,,0,60
"BM_run/70/iterations:100",100,14865.8,14862.9,ns,,,,,,0,70
"BM_run/80/iterations:100",100,15183.9,15173.9,ns,,,,,,0,80
"BM_run/90/iterations:100",100,15518.2,15516.4,ns,,,,,,0,90
"BM_run/100/iterations:100",100,17304.9,17292.4,ns,,,,,,0,100
"BM_run/200/iterations:100",100,16181.8,16171.3,ns,,,,,,0,200
"BM_run/300/iterations:100",100,16311.3,16311.6,ns,,,,,,0,300
"BM_run/400/iterations:100",100,17308.6,17298.3,ns,,,,,,0,400
"BM_run/500/iterations:100",100,16872.9,16864.2,ns,,,,,,0,500
"BM_run/600/iterations:100",100,17312.5,17302.6,ns,,,,,,0,600
"BM_run/700/iterations:100",100,16338.4,16338.3,ns,,,,,,0,700
"BM_run/800/iterations:100",100,16978.3,16971.4,ns,,,,,,0,800
"BM_run/900/iterations:100",100,16380.2,16370.8,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,18557.3,18547.2,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,16230.9,16234.5,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,16441.2,16431.8,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,16874.8,16867.5,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,17477.3,17469.9,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,18532,18518.4,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,16827.7,16824.9,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,18610,18623.3,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,18980.6,18979.3,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,17635.2,17626.3,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,19771.9,19757.2,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,20536,20526.9,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,20973.7,20966.4,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,22162.8,22140.7,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,22990.9,22958.8,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,20969.6,20950.1,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,20876.2,20855.2,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,22738.7,22722.6,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,24030,24008.2,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,26322.1,26280,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,34192.5,34137.6,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,36379.5,36313.4,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,45105.3,45028.9,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,48689.7,48611.9,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,55310.9,55106.8,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,59303.8,59167.8,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,66252,66053.1,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,71458.2,71265,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,163970,163780,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,237758,237506,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,309056,308685,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,384282,383780,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,454805,454350,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,533190,532455,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,599380,598700,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,675360,674497,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,748825,747912,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,1.49747e+06,1.49533e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,2.21168e+06,2.20881e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,3.77161e+06,3.76703e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,4.40159e+06,4.39649e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,5.50621e+06,5.49966e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,6.42867e+06,6.42094e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,7.25134e+06,7.24326e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,8.21721e+06,8.20766e+06,ns,,,,,,0,9e+07
