Data structure size: 91806157120 bits, construction time: 215067753524 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,973.594,937.73,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1475.99,1479.9,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1948.84,1953.79,ns,,,,,,0,3
"BM_run/4/iterations:100",100,3004.32,3011.36,ns,,,,,,0,4
"BM_run/5/iterations:100",100,3267.77,3266.93,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3634.7,3641.9,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3497.86,3494.01,ns,,,,,,0,7
"BM_run/8/iterations:100",100,4581.79,4590.13,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3869.67,3877.07,ns,,,,,,0,9
"BM_run/10/iterations:100",100,4315.81,4312.84,ns,,,,,,0,10
"BM_run/20/iterations:100",100,5709.69,5706.02,ns,,,,,,0,20
"BM_run/30/iterations:100",100,5709.26,5716.85,ns,,,,,,0,30
"BM_run/40/iterations:100",100,6298.7,6293.92,ns,,,,,,0,40
"BM_run/50/iterations:100",100,5822.73,5830.38,ns,,,,,,0,50
"BM_run/60/iterations:100",100,6124.15,6120.09,ns,,,,,,0,60
"BM_run/70/iterations:100",100,6732.04,6729.89,ns,,,,,,0,70
"BM_run/80/iterations:100",100,6377.87,6385.47,ns,,,,,,0,80
"BM_run/90/iterations:100",100,6180.13,6168.93,ns,,,,,,0,90
"BM_run/100/iterations:100",100,6776.3,6772.21,ns,,,,,,0,100
"BM_run/200/iterations:100",100,6703.58,6699.63,ns,,,,,,0,200
"BM_run/300/iterations:100",100,6333.78,6339.4,ns,,,,,,0,300
"BM_run/400/iterations:100",100,6723.21,6719.67,ns,,,,,,0,400
"BM_run/500/iterations:100",100,6718.7,6716.21,ns,,,,,,0,500
"BM_run/600/iterations:100",100,7021.22,7028.92,ns,,,,,,0,600
"BM_run/700/iterations:100",100,6439.74,6435.14,ns,,,,,,0,700
"BM_run/800/iterations:100",100,6921.18,6916.51,ns,,,,,,0,800
"BM_run/900/iterations:100",100,6821.9,6818.23,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,7707.97,7714.96,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,7208.89,7204.67,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,7143.41,7128.39,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,7577.82,7571.87,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,7472.98,7465.56,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,7900.01,7905.51,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,8029.85,8026.74,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,8244.67,8240.07,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,7866.68,7862.71,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,7996.13,7992.26,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,9832.34,9825.84,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,11397.9,11390.5,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,12718.8,12707,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,14033.2,14018.4,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,15163.6,15150.2,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,16839.8,16807.9,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,18334.1,18306.6,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,20125.6,20111.9,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,21829.3,21797,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,34877.8,34843.9,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,49636.3,49563.1,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,64022.8,63956.4,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,77817,77718,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,92623.8,92492.1,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,107380,107228,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,120879,120651,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,135132,134856,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,149328,149060,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,295704,295326,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,439458,438933,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,583789,583014,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,742496,741421,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,892238,891001,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,1.03538e+06,1.03392e+06,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,1.17843e+06,1.1769e+06,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,1.32412e+06,1.32241e+06,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,1.47896e+06,1.47689e+06,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,2.94959e+06,2.94588e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,4.42284e+06,4.41788e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,6.69881e+06,6.69064e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,8.30193e+06,8.29256e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,9.99226e+06,9.98081e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,1.16058e+07,1.1593e+07,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,1.32787e+07,1.32645e+07,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,1.49646e+07,1.49482e+07,ns,,,,,,0,9e+07
