Data structure size: 53150631872 bits, construction time: 51457236011 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,622.618,597.22,ns,,,,,,0,1
"BM_run/2/iterations:100",100,4173.56,4177.05,ns,,,,,,0,2
"BM_run/3/iterations:100",100,5348.24,5338.98,ns,,,,,,0,3
"BM_run/4/iterations:100",100,4857.47,4863.29,ns,,,,,,0,4
"BM_run/5/iterations:100",100,4409.39,4400.35,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3349.31,3353.11,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2942.88,2946.77,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2999.64,2992.76,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2868.43,2872.25,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2482.32,2485.14,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1766.35,1759.64,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1648.81,1650.57,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1360.53,1362.24,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1191.19,1191.73,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1188.62,1191.1,ns,,,,,,0,60
"BM_run/70/iterations:100",100,964.114,965.5,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1213.16,1212.44,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1079.11,1079.68,ns,,,,,,0,90
"BM_run/100/iterations:100",100,931.03,932.27,ns,,,,,,0,100
"BM_run/200/iterations:100",100,891.712,893.7,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1066.9,1069.73,ns,,,,,,0,300
"BM_run/400/iterations:100",100,881.428,881.39,ns,,,,,,0,400
"BM_run/500/iterations:100",100,903.422,904.69,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1017.26,1009.2,ns,,,,,,0,600
"BM_run/700/iterations:100",100,869.522,870.97,ns,,,,,,0,700
"BM_run/800/iterations:100",100,852.037,851.62,ns,,,,,,0,800
"BM_run/900/iterations:100",100,846.09,847.28,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,869.078,869.41,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,942.058,942.29,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,842.832,843.51,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,873.695,873.71,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,916.7,909.6,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,876.191,876.82,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,911.551,913.07,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,901.297,901.87,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,908,908.98,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,925.51,925.58,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,1009.35,1005.77,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,1147.67,1142.71,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,1254.36,1247.77,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,1307.46,1299.73,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,1469.04,1460.97,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,1508.61,1507.02,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,1547.16,1539.88,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,1750.35,1746.12,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,1731.08,1712.33,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,2883.24,2869.2,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,3931.39,3907.48,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,5057.47,5029.69,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,7097.22,7057.23,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,9118.49,9077.89,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,11098.9,11014,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,15239.1,15112.9,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,17432.4,17325.1,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,22342.6,22200,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,55844.9,55699.9,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,89126.2,88879,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,108670,108438,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,137284,137047,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,159420,159167,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,198372,198024,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,264764,264233,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,267938,267680,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,307009,306422,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,603821,602611,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,885440,883939,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,2.24195e+06,2.23898e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,2.61737e+06,2.61405e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,3.08042e+06,3.07653e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,3.86296e+06,3.85784e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,4.09464e+06,4.08946e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,4.70219e+06,4.69623e+06,ns,,,,,,0,9e+07
