Data structure size: 53234108160 bits, construction time: 19053345566 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,552.218,528.59,ns,,,,,,0,1
"BM_run/2/iterations:100",100,4183.95,4176.75,ns,,,,,,0,2
"BM_run/3/iterations:100",100,4873.89,4877.79,ns,,,,,,0,3
"BM_run/4/iterations:100",100,4786.19,4777.63,ns,,,,,,0,4
"BM_run/5/iterations:100",100,4226.33,4230.1,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3237.69,3239.36,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2806.61,2809.41,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2747.3,2751.15,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2897.99,2890.97,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2507.56,2510,ns,,,,,,0,10
"BM_run/20/iterations:100",100,1697.64,1700.71,ns,,,,,,0,20
"BM_run/30/iterations:100",100,1703.27,1705.28,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1334.91,1326.23,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1231.99,1231.31,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1258.38,1260.26,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1024.76,1028.13,ns,,,,,,0,70
"BM_run/80/iterations:100",100,996.982,998.28,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1056.83,1059.15,ns,,,,,,0,90
"BM_run/100/iterations:100",100,963.601,964.28,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1001.01,992.44,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1159.1,1165.62,ns,,,,,,0,300
"BM_run/400/iterations:100",100,919.127,920.48,ns,,,,,,0,400
"BM_run/500/iterations:100",100,932.511,934.28,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1062.17,1064.48,ns,,,,,,0,600
"BM_run/700/iterations:100",100,860.551,862.42,ns,,,,,,0,700
"BM_run/800/iterations:100",100,889.748,891.17,ns,,,,,,0,800
"BM_run/900/iterations:100",100,917.263,918.81,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,910.051,908.52,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,955.146,960.85,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,930.421,932.57,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,954.868,957.19,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,944.184,945.37,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,938.906,941.04,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,935.7,937.35,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,959.191,950.96,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,923.042,923.96,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,982.332,983.12,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,1071.76,1069.32,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,1166.06,1161.05,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,1316.91,1309.23,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,1382.85,1377.44,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,1449.25,1443.59,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,1533.15,1528.16,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,1597.96,1589.53,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,1795.75,1788.95,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,1755.15,1749.27,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,2950.16,2941.92,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,4261.49,4247.03,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,5163.1,5138.27,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,7251.92,7183.7,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,9126.78,9085.64,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,11143.3,11083.7,ns,,,,,,0,700000
