Data structure size: 53150427072 bits, construction time: 173581657625 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,625.839,606.71,ns,,,,,,0,1
"BM_run/2/iterations:100",100,4328.92,4331.73,ns,,,,,,0,2
"BM_run/3/iterations:100",100,5208.43,5202.37,ns,,,,,,0,3
"BM_run/4/iterations:100",100,5251.53,5254.99,ns,,,,,,0,4
"BM_run/5/iterations:100",100,4702.44,4696.38,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3739.09,3742.27,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3376.12,3379.63,ns,,,,,,0,7
"BM_run/8/iterations:100",100,3385.88,3379.51,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3436.63,3440.61,ns,,,,,,11,9
"BM_run/10/iterations:100",100,3117.84,3110.73,ns,,,,,,18,10
"BM_run/20/iterations:100",100,2344.15,2347.5,ns,,,,,,63,20
"BM_run/30/iterations:100",100,2328.18,2330.8,ns,,,,,,71,30
"BM_run/40/iterations:100",100,1934.09,1936.73,ns,,,,,,79,40
"BM_run/50/iterations:100",100,1858.63,1861.1,ns,,,,,,84,50
"BM_run/60/iterations:100",100,1887.89,1880.78,ns,,,,,,88,60
"BM_run/70/iterations:100",100,1635.84,1637.9,ns,,,,,,89,70
"BM_run/80/iterations:100",100,1602.48,1604.09,ns,,,,,,92,80
"BM_run/90/iterations:100",100,1673.7,1676.26,ns,,,,,,90,90
"BM_run/100/iterations:100",100,1568.43,1570.48,ns,,,,,,96,100
"BM_run/200/iterations:100",100,1592.69,1586.67,ns,,,,,,95,200
"BM_run/300/iterations:100",100,1702.68,1705.16,ns,,,,,,93,300
"BM_run/400/iterations:100",100,1521.37,1523.84,ns,,,,,,100,400
"BM_run/500/iterations:100",100,1567.72,1570.11,ns,,,,,,97,500
"BM_run/600/iterations:100",100,1669.8,1672.21,ns,,,,,,97,600
"BM_run/700/iterations:100",100,1522.38,1516.19,ns,,,,,,99,700
"BM_run/800/iterations:100",100,1505,1507.09,ns,,,,,,100,800
"BM_run/900/iterations:100",100,1497.07,1498.92,ns,,,,,,100,900
"BM_run/1000/iterations:100",100,1521.17,1523.84,ns,,,,,,100,1000
"BM_run/2000/iterations:100",100,1544.55,1547.02,ns,,,,,,99,2000
"BM_run/3000/iterations:100",100,1533.18,1526.74,ns,,,,,,100,3000
"BM_run/4000/iterations:100",100,1510.85,1510.78,ns,,,,,,100,4000
"BM_run/5000/iterations:100",100,1498.27,1499.77,ns,,,,,,100,5000
"BM_run/6000/iterations:100",100,1499.66,1501.65,ns,,,,,,98,6000
"BM_run/7000/iterations:100",100,1519.84,1521.36,ns,,,,,,100,7000
"BM_run/8000/iterations:100",100,1511.97,1513.19,ns,,,,,,100,8000
"BM_run/9000/iterations:100",100,1511.02,1511.84,ns,,,,,,100,9000
"BM_run/10000/iterations:100",100,1572.9,1573.52,ns,,,,,,100,10000
"BM_run/20000/iterations:100",100,1554.16,1550.66,ns,,,,,,100,20000
"BM_run/30000/iterations:100",100,1612.19,1597.16,ns,,,,,,100,30000
"BM_run/40000/iterations:100",100,1608.51,1600.24,ns,,,,,,100,40000
"BM_run/50000/iterations:100",100,1620.75,1610.72,ns,,,,,,100,50000
"BM_run/60000/iterations:100",100,1636.74,1625.09,ns,,,,,,100,60000
"BM_run/70000/iterations:100",100,1624.81,1615.1,ns,,,,,,100,70000
"BM_run/80000/iterations:100",100,1639.8,1627.35,ns,,,,,,100,80000
"BM_run/90000/iterations:100",100,1624.03,1613.4,ns,,,,,,100,90000
"BM_run/100000/iterations:100",100,1639.62,1626.23,ns,,,,,,100,100000
"BM_run/200000/iterations:100",100,1623.68,1609.13,ns,,,,,,100,200000
"BM_run/300000/iterations:100",100,1694.06,1673.24,ns,,,,,,100,300000
"BM_run/400000/iterations:100",100,1715.22,1693.32,ns,,,,,,100,400000
"BM_run/500000/iterations:100",100,1765.94,1732.16,ns,,,,,,100,500000
"BM_run/600000/iterations:100",100,1863.89,1804.58,ns,,,,,,100,600000
"BM_run/700000/iterations:100",100,1960.3,1869.15,ns,,,,,,100,700000
"BM_run/800000/iterations:100",100,2023.68,1895.95,ns,,,,,,100,800000
"BM_run/900000/iterations:100",100,2107.24,1968.23,ns,,,,,,100,900000
"BM_run/1000000/iterations:100",100,2149.99,1988.29,ns,,,,,,100,1e+06
"BM_run/2000000/iterations:100",100,2140.15,2037.19,ns,,,,,,100,2e+06
"BM_run/3000000/iterations:100",100,2352.31,2161.03,ns,,,,,,100,3e+06
"BM_run/4000000/iterations:100",100,2439.52,2230.06,ns,,,,,,100,4e+06
"BM_run/5000000/iterations:100",100,2645.9,2477.45,ns,,,,,,100,5e+06
"BM_run/6000000/iterations:100",100,2499.96,2329.54,ns,,,,,,100,6e+06
"BM_run/7000000/iterations:100",100,2600.33,2401.39,ns,,,,,,100,7e+06
"BM_run/8000000/iterations:100",100,2565.21,2386.99,ns,,,,,,100,8e+06
"BM_run/9000000/iterations:100",100,2637.14,2441.57,ns,,,,,,100,9e+06
"BM_run/10000000/iterations:100",100,2749.59,2543.31,ns,,,,,,100,1e+07
"BM_run/20000000/iterations:100",100,2935.38,2687.35,ns,,,,,,100,2e+07
"BM_run/30000000/iterations:100",100,9299.17,9005.78,ns,,,,,,100,3e+07
"BM_run/40000000/iterations:100",100,849724,848679,ns,,,,,,100,4e+07
"BM_run/50000000/iterations:100",100,1.04303e+06,1.04179e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.26288e+06,1.26139e+06,ns,,,,,,100,6e+07
"BM_run/70000000/iterations:100",100,1.45855e+06,1.45674e+06,ns,,,,,,100,7e+07
"BM_run/80000000/iterations:100",100,1.68595e+06,1.68394e+06,ns,,,,,,100,8e+07
"BM_run/90000000/iterations:100",100,1.88322e+06,1.88111e+06,ns,,,,,,100,9e+07
