Data structure size: 53150631872 bits, construction time: 51694091996 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,621.813,598.23,ns,,,,,,0,1
"BM_run/2/iterations:100",100,4243.6,4234.8,ns,,,,,,0,2
"BM_run/3/iterations:100",100,5145.23,5149.35,ns,,,,,,0,3
"BM_run/4/iterations:100",100,5044.61,5041.03,ns,,,,,,0,4
"BM_run/5/iterations:100",100,4446.59,4450.44,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3409.68,3402.56,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2959.19,2962.15,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2801.02,2804.45,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2826.25,2819.47,ns,,,,,,11,9
"BM_run/10/iterations:100",100,2500.87,2503.74,ns,,,,,,18,10
"BM_run/20/iterations:100",100,1744.12,1746.68,ns,,,,,,63,20
"BM_run/30/iterations:100",100,1652.39,1654.31,ns,,,,,,71,30
"BM_run/40/iterations:100",100,1316.12,1318.17,ns,,,,,,79,40
"BM_run/50/iterations:100",100,1235.12,1226.88,ns,,,,,,84,50
"BM_run/60/iterations:100",100,1212.72,1213.86,ns,,,,,,88,60
"BM_run/70/iterations:100",100,988.375,990,ns,,,,,,89,70
"BM_run/80/iterations:100",100,946.309,947.34,ns,,,,,,92,80
"BM_run/90/iterations:100",100,1021.53,1023.21,ns,,,,,,90,90
"BM_run/100/iterations:100",100,917.68,918.86,ns,,,,,,96,100
"BM_run/200/iterations:100",100,898.511,899.78,ns,,,,,,95,200
"BM_run/300/iterations:100",100,1046.89,1048.88,ns,,,,,,93,300
"BM_run/400/iterations:100",100,897.851,888.48,ns,,,,,,100,400
"BM_run/500/iterations:100",100,907.041,908.42,ns,,,,,,97,500
"BM_run/600/iterations:100",100,1015.31,1016.71,ns,,,,,,97,600
"BM_run/700/iterations:100",100,866.45,867.21,ns,,,,,,99,700
