Data structure size: 13421773248 bits, construction time: 4655173421 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,419.259,389.6,ns,,,,,,0,1
"BM_run/2/iterations:100",100,2050.97,2055.48,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1921.06,1893.28,ns,,,,,,0,3
"BM_run/4/iterations:100",100,2116.62,2124.56,ns,,,,,,0,4
"BM_run/5/iterations:100",100,2311.31,2319.62,ns,,,,,,0,5
"BM_run/6/iterations:100",100,2398.11,2407.97,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2243.88,2222.84,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2514.64,2524.44,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2330.21,2342.23,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2534.12,2510.28,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2514.15,2525.59,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2658.63,2670.37,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2565.07,2546.07,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2605,2616.35,ns,,,,,,0,50
"BM_run/60/iterations:100",100,2543.61,2555.47,ns,,,,,,0,60
"BM_run/70/iterations:100",100,2634.07,2584.63,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2648.65,2657.7,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2548.77,2559.14,ns,,,,,,0,90
"BM_run/100/iterations:100",100,2533.37,2514.95,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2642.4,2654.35,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2706.38,2717.11,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2724.24,2701.92,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2695.85,2707.31,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2791.17,2802.28,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2825.01,2802.32,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2853.2,2862.22,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2877.58,2886.33,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2964.82,2944.27,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3296.38,3307.76,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3755.56,3739.63,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,4002.25,4011.18,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4351.03,4333.51,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4788.01,4801.28,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,5324.31,5331.72,ns,,,,,,0,7000
