Data structure size: 91805747136 bits, construction time: 213575341949 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1440.36,1416.98,ns,,,,,,0,1
"BM_run/2/iterations:100",100,5243.24,5239.06,ns,,,,,,0,2
"BM_run/3/iterations:100",100,5453.2,5458.32,ns,,,,,,0,3
"BM_run/4/iterations:100",100,6249.09,6244.15,ns,,,,,,0,4
"BM_run/5/iterations:100",100,5530.71,5535.44,ns,,,,,,0,5
"BM_run/6/iterations:100",100,5066.35,5061.25,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3765.54,3771.1,ns,,,,,,0,7
"BM_run/8/iterations:100",100,4010.98,4005.69,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3673,3677.27,ns,,,,,,0,9
"BM_run/10/iterations:100",100,3355.99,3349.8,ns,,,,,,0,10
"BM_run/20/iterations:100",100,3050.83,3055.71,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2712.82,2714.95,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2055.23,2059.15,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2164.45,2159.43,ns,,,,,,0,50
"BM_run/60/iterations:100",100,2121.98,2125.5,ns,,,,,,0,60
"BM_run/70/iterations:100",100,2040.54,2042.87,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2123.68,2124.27,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2300.3,2293.57,ns,,,,,,0,90
"BM_run/100/iterations:100",100,2010.6,2013.76,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2125.33,2129.46,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2734.52,2738.93,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2539.27,2533.75,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2511.46,2516.3,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2937.03,2943.24,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2926.89,2920.75,ns,,,,,,0,700
"BM_run/800/iterations:100",100,3011.58,3016.41,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2826.47,2831.65,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2900.72,2896.4,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3516.48,3522.64,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3995.5,4000.37,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3996.76,4001.78,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4715.48,4710.06,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4872.8,4878.48,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,4878.53,4884.33,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4852.7,4858.35,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,6335.79,6334.12,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,6328.14,6333.28,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,7554.54,7549.04,ns,,,,,,0,20000
