Data structure size: 91805137344 bits, construction time: 31141334959 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1302.9,1284.3,ns,,,,,,0,1
"BM_run/2/iterations:100",100,5262.39,5250.67,ns,,,,,,0,2
"BM_run/3/iterations:100",100,5388.12,5394.93,ns,,,,,,0,3
"BM_run/4/iterations:100",100,6401.83,6393.24,ns,,,,,,0,4
"BM_run/5/iterations:100",100,5690.58,5692.68,ns,,,,,,0,5
"BM_run/6/iterations:100",100,5241.92,5248.67,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3940.12,3934.23,ns,,,,,,0,7
"BM_run/8/iterations:100",100,3930.55,3936.21,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3875.95,3881.25,ns,,,,,,0,9
"BM_run/10/iterations:100",100,3486.89,3482.5,ns,,,,,,0,10
"BM_run/20/iterations:100",100,3245.78,3250.22,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2655.05,2648.2,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2121.4,2126.38,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2022.38,2025.53,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1956.02,1960.42,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1967.11,1971.54,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1838.86,1838.91,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2053.88,2059.47,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1715.63,1721.41,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1822.08,1827.3,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2361.3,2364.82,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1912.43,1918.41,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1864.76,1870.24,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2155.87,2163.04,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2172.83,2165.56,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2123.91,2129.42,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2110.44,2115.43,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2062.87,2068.6,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,2383.41,2379.34,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,2635.77,2641.78,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,2724.51,2730.95,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,3008.55,3006.52,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,3098.23,3104.58,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,2995.35,3001.65,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,2931.31,2927.16,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,3281.37,3287.76,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,3475.94,3469.84,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,4097.35,4099.54,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,4281.93,4268.57,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,5034.22,5034.48,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,5127.94,5128.04,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,5218.8,5205.42,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,6703.09,6694.51,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,7272.73,7274.19,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,7654.62,7652.52,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,7583.92,7577.8,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,10161.2,10147.8,ns,,,,,,0,200000
