Data structure size: 91805747136 bits, construction time: 213621924730 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1436.59,1416.63,ns,,,,,,0,1
"BM_run/2/iterations:100",100,5205.43,5200.58,ns,,,,,,0,2
"BM_run/3/iterations:100",100,5461.51,5468.01,ns,,,,,,0,3
"BM_run/4/iterations:100",100,6347.93,6335.84,ns,,,,,,0,4
"BM_run/5/iterations:100",100,5517.71,5523.02,ns,,,,,,0,5
"BM_run/6/iterations:100",100,5049.33,5044.8,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3766.81,3772.04,ns,,,,,,0,7
"BM_run/8/iterations:100",100,4060.93,4055.63,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3665.25,3670.63,ns,,,,,,0,9
"BM_run/10/iterations:100",100,3362.02,3355.96,ns,,,,,,0,10
"BM_run/20/iterations:100",100,3059.43,3064.9,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2735.9,2741.04,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2110.68,2114.77,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2166.33,2162.03,ns,,,,,,0,50
"BM_run/60/iterations:100",100,2130.88,2136.31,ns,,,,,,0,60
"BM_run/70/iterations:100",100,2014.93,2019.65,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2045.88,2050.53,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2278.44,2273.45,ns,,,,,,0,90
"BM_run/100/iterations:100",100,2009.57,2014.83,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2133.58,2139.22,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2779.32,2785.84,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2573.09,2568.84,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2522.43,2526.09,ns,,,,,,0,500
"BM_run/600/iterations:100",100,3000.43,3005.58,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2979.14,2974.7,ns,,,,,,0,700
"BM_run/800/iterations:100",100,3027.97,3033.25,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2883.33,2889.07,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2896.21,2892.55,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3648.89,3656.22,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3990.75,3993.3,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,4098.55,4104.53,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,4677.19,4670.41,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,4892.38,4896.87,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,4875.92,4858.92,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4843.49,4848.45,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,6398.03,6393.27,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,6330.74,6325.67,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,7546.38,7539.06,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,7667.43,7658.82,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,10149.3,10135.1,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,10236.9,10225,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,10569.9,10566.5,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,15132.8,15116,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,15326.4,15321.2,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,15425.1,15399.7,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,15333.1,15327.2,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,26105.3,26064.7,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,45819.9,45767.9,ns,,,,,,13,300000
"BM_run/400000/iterations:100",100,46819.3,46753.2,ns,,,,,,31,400000
"BM_run/500000/iterations:100",100,48431.9,48356.9,ns,,,,,,50,500000
"BM_run/600000/iterations:100",100,48978.1,48882,ns,,,,,,55,600000
"BM_run/700000/iterations:100",100,49828.7,49747.3,ns,,,,,,60,700000
"BM_run/800000/iterations:100",100,50952.8,50800.9,ns,,,,,,72,800000
"BM_run/900000/iterations:100",100,51728,51529.1,ns,,,,,,70,900000
"BM_run/1000000/iterations:100",100,52540.3,52350.3,ns,,,,,,85,1e+06
"BM_run/2000000/iterations:100",100,54694.1,54539.5,ns,,,,,,89,2e+06
"BM_run/3000000/iterations:100",100,55077.3,54946.1,ns,,,,,,93,3e+06
"BM_run/4000000/iterations:100",100,55698.9,55473.2,ns,,,,,,93,4e+06
"BM_run/5000000/iterations:100",100,55562.2,55345.7,ns,,,,,,93,5e+06
"BM_run/6000000/iterations:100",100,56203.5,55998.9,ns,,,,,,94,6e+06
"BM_run/7000000/iterations:100",100,56366.6,56074.4,ns,,,,,,95,7e+06
"BM_run/8000000/iterations:100",100,56754.8,56554.1,ns,,,,,,98,8e+06
"BM_run/9000000/iterations:100",100,56838.6,56604.8,ns,,,,,,97,9e+06
"BM_run/10000000/iterations:100",100,56725,56422.4,ns,,,,,,99,1e+07
"BM_run/20000000/iterations:100",100,58310.5,58059.4,ns,,,,,,98,2e+07
"BM_run/30000000/iterations:100",100,64964.1,64604.3,ns,,,,,,98,3e+07
"BM_run/40000000/iterations:100",100,951263,949913,ns,,,,,,99,4e+07
"BM_run/50000000/iterations:100",100,1.14697e+06,1.14531e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.36504e+06,1.36229e+06,ns,,,,,,99,6e+07
"BM_run/70000000/iterations:100",100,1.57112e+06,1.56933e+06,ns,,,,,,100,7e+07
"BM_run/80000000/iterations:100",100,1.81711e+06,1.81507e+06,ns,,,,,,100,8e+07
"BM_run/90000000/iterations:100",100,2.02357e+06,2.02136e+06,ns,,,,,,100,9e+07
