Data structure size: 91888813824 bits, construction time: 33103543038 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1274.94,1242.98,ns,,,,,,0,1
"BM_run/2/iterations:100",100,5107.91,5114.56,ns,,,,,,0,2
"BM_run/3/iterations:100",100,6371.78,6299.07,ns,,,,,,0,3
"BM_run/4/iterations:100",100,5712.12,5694.8,ns,,,,,,0,4
"BM_run/5/iterations:100",100,4632.25,4638.91,ns,,,,,,0,5
"BM_run/6/iterations:100",100,4573.71,4566.37,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3164.8,3169.76,ns,,,,,,0,7
"BM_run/8/iterations:100",100,3248.4,3253.86,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2967.19,2970.14,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2860.27,2864.22,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2353.92,2358.67,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2068,2061.27,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1563.27,1567,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1488.46,1491.96,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1532.9,1535.75,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1391.65,1394.61,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1355.67,1359.7,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1536,1528.96,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1355.37,1359.2,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1482.67,1487.26,ns,,,,,,0,200
"BM_run/300/iterations:100",100,1839.53,1847.12,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1422.75,1428.29,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1473.84,1468.27,ns,,,,,,0,500
"BM_run/600/iterations:100",100,1757.23,1764.58,ns,,,,,,0,600
"BM_run/700/iterations:100",100,1602.05,1608.41,ns,,,,,,0,700
"BM_run/800/iterations:100",100,1598.67,1604.81,ns,,,,,,0,800
"BM_run/900/iterations:100",100,1576.91,1583.38,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,1690.88,1679.34,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,1724.93,1730.68,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,1931.63,1941.97,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,1953.67,1961.14,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,2076.49,2068.82,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,2226.83,2233.63,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,2110.57,2116.78,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,2065.75,2072.08,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,2223.5,2229.29,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,2334.34,2339.89,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,2758.14,2760.81,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,2910.36,2896.01,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,3387.69,3369.9,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,3526.43,3522.94,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,3510.89,3502.08,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,4514.09,4500.01,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,4639.54,4624.75,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,4921.42,4912.9,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,4815.16,4800.48,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,7755.82,7732.69,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,12296.9,12274.6,ns,,,,,,13,300000
"BM_run/400000/iterations:100",100,13405.5,13353.7,ns,,,,,,31,400000
"BM_run/500000/iterations:100",100,14713.6,14664.2,ns,,,,,,50,500000
"BM_run/600000/iterations:100",100,16153.9,16098.6,ns,,,,,,55,600000
"BM_run/700000/iterations:100",100,17122.2,17022.3,ns,,,,,,60,700000
"BM_run/800000/iterations:100",100,17677.9,17541.5,ns,,,,,,72,800000
"BM_run/900000/iterations:100",100,18162.4,18031.9,ns,,,,,,70,900000
"BM_run/1000000/iterations:100",100,19297.1,19118.5,ns,,,,,,85,1e+06
"BM_run/2000000/iterations:100",100,32112.9,31972.4,ns,,,,,,89,2e+06
"BM_run/3000000/iterations:100",100,34047.5,33847.4,ns,,,,,,93,3e+06
"BM_run/4000000/iterations:100",100,35229.9,35072.6,ns,,,,,,93,4e+06
"BM_run/5000000/iterations:100",100,36141,35955.8,ns,,,,,,93,5e+06
"BM_run/6000000/iterations:100",100,37169.2,36963.6,ns,,,,,,94,6e+06
"BM_run/7000000/iterations:100",100,36379.1,36183.5,ns,,,,,,95,7e+06
"BM_run/8000000/iterations:100",100,36382.2,36202.2,ns,,,,,,98,8e+06
"BM_run/9000000/iterations:100",100,36897.7,36708.4,ns,,,,,,97,9e+06
"BM_run/10000000/iterations:100",100,37441,37217,ns,,,,,,99,1e+07
"BM_run/20000000/iterations:100",100,38791,38539.2,ns,,,,,,98,2e+07
"BM_run/30000000/iterations:100",100,45685.8,45445.6,ns,,,,,,98,3e+07
"BM_run/40000000/iterations:100",100,902627,901492,ns,,,,,,99,4e+07
"BM_run/50000000/iterations:100",100,1.09301e+06,1.09158e+06,ns,,,,,,100,5e+07
"BM_run/60000000/iterations:100",100,1.31543e+06,1.31346e+06,ns,,,,,,99,6e+07
"BM_run/70000000/iterations:100",100,1.5204e+06,1.51835e+06,ns,,,,,,100,7e+07
"BM_run/80000000/iterations:100",100,1.78019e+06,1.77814e+06,ns,,,,,,100,8e+07
"BM_run/90000000/iterations:100",100,1.98669e+06,1.98434e+06,ns,,,,,,100,9e+07
