Data structure size: 91805137344 bits, construction time: 31047489351 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,1457.5,1442.19,ns,,,,,,0,1
"BM_run/2/iterations:100",100,5228.76,5224.49,ns,,,,,,0,2
"BM_run/3/iterations:100",100,6351.62,6221.98,ns,,,,,,0,3
"BM_run/4/iterations:100",100,6234.23,6227.97,ns,,,,,,0,4
"BM_run/5/iterations:100",100,4671.73,4677.05,ns,,,,,,0,5
"BM_run/6/iterations:100",100,4717.4,4711.85,ns,,,,,,0,6
"BM_run/7/iterations:100",100,3360,3365.65,ns,,,,,,0,7
"BM_run/8/iterations:100",100,3532.87,3537.31,ns,,,,,,0,8
"BM_run/9/iterations:100",100,3201.71,3196.75,ns,,,,,,0,9
"BM_run/10/iterations:100",100,3092.18,3096.08,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2701.21,2705.66,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2336.07,2329.44,ns,,,,,,0,30
"BM_run/40/iterations:100",100,1906.84,1911.1,ns,,,,,,0,40
"BM_run/50/iterations:100",100,1802.22,1805.36,ns,,,,,,0,50
"BM_run/60/iterations:100",100,1865.65,1869.08,ns,,,,,,0,60
"BM_run/70/iterations:100",100,1767.06,1770.69,ns,,,,,,0,70
"BM_run/80/iterations:100",100,1745.73,1737.46,ns,,,,,,0,80
"BM_run/90/iterations:100",100,1876.57,1879.66,ns,,,,,,0,90
"BM_run/100/iterations:100",100,1619.21,1622.4,ns,,,,,,0,100
"BM_run/200/iterations:100",100,1728.91,1734.82,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2205.22,2201.15,ns,,,,,,0,300
"BM_run/400/iterations:100",100,1874.62,1879.56,ns,,,,,,0,400
"BM_run/500/iterations:100",100,1794.47,1801.08,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2093.78,2100.13,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2073.19,2079.49,ns,,,,,,0,700
