Data structure size: 91805542720 bits, construction time: 122993089407 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,2530.48,2512.53,ns,,,,,,0,1
"BM_run/2/iterations:100",100,6919.66,6921.55,ns,,,,,,0,2
"BM_run/3/iterations:100",100,6809.6,6809.05,ns,,,,,,0,3
"BM_run/4/iterations:100",100,7948.19,7948.39,ns,,,,,,0,4
"BM_run/5/iterations:100",100,7152.66,7163.26,ns,,,,,,0,5
"BM_run/6/iterations:100",100,7006.1,7006.79,ns,,,,,,0,6
"BM_run/7/iterations:100",100,5600.11,5599.11,ns,,,,,,0,7
"BM_run/8/iterations:100",100,5550.04,5558,ns,,,,,,0,8
"BM_run/9/iterations:100",100,5552.6,5550.21,ns,,,,,,0,9
"BM_run/10/iterations:100",100,5241.94,5250.06,ns,,,,,,0,10
"BM_run/20/iterations:100",100,5231.99,5228.4,ns,,,,,,0,20
"BM_run/30/iterations:100",100,4627.26,4612.29,ns,,,,,,0,30
"BM_run/40/iterations:100",100,4463.94,4470.85,ns,,,,,,0,40
"BM_run/50/iterations:100",100,4255.53,4261.63,ns,,,,,,0,50
"BM_run/60/iterations:100",100,3943.37,3945.98,ns,,,,,,0,60
"BM_run/70/iterations:100",100,3914.75,3920.97,ns,,,,,,0,70
"BM_run/80/iterations:100",100,3685.74,3677.06,ns,,,,,,0,80
"BM_run/90/iterations:100",100,3876.46,3882.49,ns,,,,,,0,90
"BM_run/100/iterations:100",100,3564.11,3556.18,ns,,,,,,0,100
"BM_run/200/iterations:100",100,3631.18,3636.37,ns,,,,,,0,200
"BM_run/300/iterations:100",100,4559.5,4565.59,ns,,,,,,0,300
"BM_run/400/iterations:100",100,3719.98,3714.25,ns,,,,,,0,400
"BM_run/500/iterations:100",100,3570.84,3575.37,ns,,,,,,0,500
"BM_run/600/iterations:100",100,4194.85,4196.07,ns,,,,,,0,600
"BM_run/700/iterations:100",100,3961.86,3966.65,ns,,,,,,0,700
"BM_run/800/iterations:100",100,4110.34,4111.52,ns,,,,,,0,800
"BM_run/900/iterations:100",100,4567.32,4585.57,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,4507.03,4511.43,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,4512.03,4506.52,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,5167.76,5173.28,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,5038.9,5026.25,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,5109.62,5096.25,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,5477.04,5482.64,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,5492.35,5484.32,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,4915.87,4921.07,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,5622.27,5617.61,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,5903.59,5910.06,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,6886.92,6879.1,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,6972.64,6972,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,7492.66,7478.66,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,7956.55,7929.17,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,7124.38,7120.42,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,7938.23,7932.38,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,8433.95,8420.28,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,8823.81,8793.55,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,8862.01,8845.9,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,11300.9,11292.9,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,14241.3,14212.8,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,17444.3,17405.1,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,20318.6,20284.4,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,22786.7,22727,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,26535.7,26461.3,ns,,,,,,0,700000
