Data structure size: 1771674432 bits, construction time: 278113109 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4738014,146.835,147.809,ns,,,,,,0,0,1,2.70204e+13
"BM_run/2",4627667,150.566,151.5,ns,,,,,,0,0,2,1.63106e+13
"BM_run/3",4595524,151.542,152.477,ns,,,,,,0,0,3,1.61973e+13
"BM_run/4",4491463,155.283,156.229,ns,,,,,,0,0,5,9.78379e+12
"BM_run/5",4304877,162.757,163.659,ns,,,,,,0,0,8,5.79552e+12
"BM_run/6",4254275,164.184,165.113,ns,,,,,,0,0,13,3.53973e+12
"BM_run/7",4104648,170.354,171.31,ns,,,,,,0,0,21,2.11072e+12
"BM_run/8",3941881,176.953,177.937,ns,,,,,,0,0,34,1.25277e+12
"BM_run/9",3895222,178.893,179.844,ns,,,,,,0,0,55,7.65088e+11
"BM_run/10",3777321,184.566,185.46,ns,,,,,,0,0,89,4.5854e+11
"BM_run/11",3697404,188.787,189.693,ns,,,,,,0,0,144,2.77394e+11
"BM_run/12",3506086,198.635,199.673,ns,,,,,,0,0,233,1.6257e+11
"BM_run/13",3477493,208.295,209.299,ns,,,,,,0,0,377,9.9651e+10
"BM_run/14",3285593,212.321,213.213,ns,,,,,,0,0,610,5.81911e+10
"BM_run/15",3142623,221.749,222.671,ns,,,,,,0,0,987,3.4396e+10
"BM_run/16",3134571,222.103,223.186,ns,,,,,,0,0,1597,2.12054e+10
"BM_run/17",2912943,239.253,240.398,ns,,,,,,0,0,2584,1.21761e+10
"BM_run/18",2593810,269.646,270.923,ns,,,,,,0,0,4181,6.70241e+09
"BM_run/19",2307555,302.441,303.414,ns,,,,,,0,0,6765,3.68286e+09
"BM_run/20",1975591,352.62,353.57,ns,,,,,,0,0,10946,1.94991e+09
"BM_run/21",1635829,426.862,427.755,ns,,,,,,0,0,17711,9.9622e+08
"BM_run/22",1084523,644.011,645.219,ns,,,,,,0,0,28657,4.08865e+08
"BM_run/23",795899,879.17,880.731,ns,,,,,,0,0,46368,1.84649e+08
"BM_run/24",514376,1358.75,1360.09,ns,,,,,,0,0,75025,7.40701e+07
"BM_run/25",337239,2072.73,2072.94,ns,,,,,,0,0,121393,2.9677e+07
"BM_run/26",216116,3240.42,3239.9,ns,,,,,,0,0,196418,1.18864e+07
"BM_run/27",142357,4928.71,4928.01,ns,,,,,,0,0,317811,4.69778e+06
"BM_run/28",103026,6796.03,6792.37,ns,,,,,,0,0,514229,2.16355e+06
"BM_run/29",55389,12655.5,12647.9,ns,,,,,,0,0,832040,664668
"BM_run/30",26708,26240.1,26220.9,ns,,,,,,0,0,1.34627e+06,213664
"BM_run/31",16146,43398.6,43364.9,ns,,,,,,0,0,2.17831e+06,64584
"BM_run/32",9553,73422.7,73361.7,ns,,,,,,0,0,3.52458e+06,28659
"BM_run/33",5866,119565,119453,ns,,,,,,0,0,5.70289e+06,5866
