Data structure size: 4993189888 bits, construction time: 4129791241 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",3624269,191.983,192.885,ns,,,,,,0,0,1,2.06688e+13
"BM_run/2",3628703,193.478,194.648,ns,,,,,,0,0,2,1.27896e+13
"BM_run/3",3111708,223.516,224.641,ns,,,,,,0,0,3,1.09675e+13
"BM_run/4",3580945,196.856,197.764,ns,,,,,,0,0,5,7.8004e+12
"BM_run/5",3449659,203.907,204.951,ns,,,,,,0,0,8,4.64417e+12
"BM_run/6",2876921,243.858,244.819,ns,,,,,,0,0,13,2.39371e+12
"BM_run/7",2995594,232.438,233.59,ns,,,,,,0,0,21,1.54042e+12
"BM_run/8",2953195,236.185,237.051,ns,,,,,,0,0,34,9.38558e+11
"BM_run/9",2541037,274.397,275.59,ns,,,,,,0,0,55,4.99103e+11
"BM_run/10",2756072,252.965,253.987,ns,,,,,,0,0,89,3.34568e+11
"BM_run/11",2268714,307.529,308.53,ns,,,,,,0,0,144,1.70208e+11
"BM_run/12",2260136,308.745,309.684,ns,,,,,,0,0,233,1.04798e+11
"BM_run/13",2496488,278.772,280.385,ns,,,,,,0,0,377,7.15394e+10
"BM_run/14",2360224,295.47,296.562,ns,,,,,,0,0,610,4.18019e+10
"BM_run/15",1705558,409.651,410.516,ns,,,,,,0,0,987,1.86673e+10
"BM_run/16",1748364,399.62,400.794,ns,,,,,,0,0,1597,1.18277e+10
"BM_run/17",1431785,488.436,488.919,ns,,,,,,0,0,2584,5.98486e+09
"BM_run/18",1285303,544.454,544.399,ns,,,,,,0,0,4181,3.32122e+09
"BM_run/19",903448,773.453,775.053,ns,,,,,,0,0,6765,1.4419e+09
"BM_run/20",693569,1006.44,1009.22,ns,,,,,,0,0,10946,6.84553e+08
"BM_run/21",449317,1550.93,1558.09,ns,,,,,,0,0,17711,2.73634e+08
"BM_run/22",275305,2540.16,2542.53,ns,,,,,,0,0,28657,1.0379e+08
"BM_run/23",175237,3989.63,3992.88,ns,,,,,,0,0,46368,4.0655e+07
"BM_run/24",114549,6109.27,6109.1,ns,,,,,,0,0,75025,1.64951e+07
"BM_run/25",71480,9798.06,9795.34,ns,,,,,,0,0,121393,6.29024e+06
"BM_run/26",45645,15326.3,15320.7,ns,,,,,,0,0,196418,2.51048e+06
"BM_run/27",28400,24638.9,24629,ns,,,,,,0,0,317811,937200
"BM_run/28",16955,41300.8,41286.4,ns,,,,,,0,0,514229,356055
"BM_run/29",10271,68234,68188.6,ns,,,,,,0,0,832040,123252
"BM_run/30",6160,113700,113606,ns,,,,,,0,0,1.34627e+06,49280
"BM_run/31",3803,184299,184131,ns,,,,,,0,0,2.17831e+06,15212
"BM_run/32",2350,298692,298387,ns,,,,,,0,0,3.52458e+06,7050
"BM_run/33",2000,349682,349296,ns,,,,,,0,0,5.70289e+06,2000
