Data structure size: 4994343712 bits, construction time: 1973443056 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",2841114,245.433,246.147,ns,,,,,,0,0,1,1.62026e+13
"BM_run/2",3197286,217.85,218.871,ns,,,,,,0,0,2,1.12691e+13
"BM_run/3",2777941,251.347,252.285,ns,,,,,,0,0,3,9.79107e+12
"BM_run/4",3180854,219.284,220.354,ns,,,,,,0,0,5,6.92888e+12
"BM_run/5",3163950,219.812,221.062,ns,,,,,,0,0,8,4.25952e+12
"BM_run/6",3083636,225.691,227.099,ns,,,,,,0,0,13,2.56571e+12
"BM_run/7",2713337,256.798,257.864,ns,,,,,,0,0,21,1.39527e+12
"BM_run/8",3077020,225.997,226.996,ns,,,,,,0,0,34,9.77911e+11
"BM_run/9",2622530,265.753,266.839,ns,,,,,,0,0,55,5.15109e+11
"BM_run/10",2983637,233.643,234.65,ns,,,,,,0,0,89,3.62193e+11
"BM_run/11",2788150,249.641,250.582,ns,,,,,,0,0,144,2.09178e+11
"BM_run/12",2712250,257.339,258.223,ns,,,,,,0,0,233,1.25762e+11
"BM_run/13",2571915,271.26,272.279,ns,,,,,,0,0,377,7.37008e+10
"BM_run/14",2789821,249.766,250.841,ns,,,,,,0,0,610,4.94105e+10
"BM_run/15",2166434,322.085,322.818,ns,,,,,,0,0,987,2.37116e+10
"BM_run/16",2363168,295.531,296.447,ns,,,,,,0,0,1597,1.59868e+10
"BM_run/17",2021507,346.425,346.211,ns,,,,,,0,0,2584,8.4499e+09
"BM_run/18",1900065,367.377,367.964,ns,,,,,,0,0,4181,4.90977e+09
"BM_run/19",1440294,486.282,486.878,ns,,,,,,0,0,6765,2.29871e+09
"BM_run/20",1184724,590.424,591.711,ns,,,,,,0,0,10946,1.16932e+09
"BM_run/21",862591,810.854,812.348,ns,,,,,,0,0,17711,5.25318e+08
"BM_run/22",564953,1240.05,1240.94,ns,,,,,,0,0,28657,2.12987e+08
"BM_run/23",389946,1788.89,1790.62,ns,,,,,,0,0,46368,9.04675e+07
"BM_run/24",271426,2584.92,2584.67,ns,,,,,,0,0,75025,3.90853e+07
"BM_run/25",171705,4080.79,4075.82,ns,,,,,,0,0,121393,1.511e+07
"BM_run/26",110257,6350.05,6347.19,ns,,,,,,0,0,196418,6.06414e+06
"BM_run/27",69281,10093.2,10088.2,ns,,,,,,0,0,317811,2.28627e+06
"BM_run/28",43404,16140.2,16130.1,ns,,,,,,0,0,514229,911484
"BM_run/29",26986,25921.9,25900.5,ns,,,,,,0,0,832040,323832
"BM_run/30",16721,41950,41919.3,ns,,,,,,0,0,1.34627e+06,133768
"BM_run/31",10410,67404,67347.5,ns,,,,,,0,0,2.17831e+06,41640
"BM_run/32",6434,108981,108887,ns,,,,,,0,0,3.52458e+06,19302
"BM_run/33",3980,175807,175628,ns,,,,,,0,0,5.70289e+06,3980
