Data structure size: 91821313152 bits, construction time: 70150091264 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1184.05,1185,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,990.396,988.211,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,2544.68,2542.42,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,1382.38,1379.03,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,2030.69,2027.71,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,1879.92,1876.45,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,2314.5,2310.75,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,1598.53,1594.31,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,1957.48,1953.19,ns,,,,,,0,1,9,1.25219e+09
"BM_run/10/iterations:10000",10000,2016.82,2011.83,ns,,,,,,0,4,10,1.04853e+09
"BM_run/20/iterations:10000",10000,2291.32,2285.02,ns,,,,,,0,3,20,1.90979e+08
"BM_run/30/iterations:10000",10000,2820.52,2814.64,ns,,,,,,0,5,30,9.022e+07
"BM_run/40/iterations:10000",10000,2704.26,2697.35,ns,,,,,,0,7,40,3.91474e+07
"BM_run/50/iterations:10000",10000,2944.42,2937.51,ns,,,,,,0,2,50,7.70178e+06
"BM_run/60/iterations:10000",10000,3167.17,3159.64,ns,,,,,,0,6,60,2.06057e+06
"BM_run/70/iterations:10000",10000,3118.56,3111.99,ns,,,,,,0,3,70,607224
"BM_run/80/iterations:10000",10000,3213.06,3206.52,ns,,,,,,0,6,80,428257
"BM_run/90/iterations:10000",10000,3293.37,3285.91,ns,,,,,,0,6,90,269535
"BM_run/100/iterations:10000",10000,3365.84,3358.32,ns,,,,,,0,3,100,100755
"BM_run/200/iterations:10000",10000,3713.12,3705.06,ns,,,,,,0,7,200,10419
"BM_run/300/iterations:10000",10000,4084.37,4077.16,ns,,,,,,0,1,300,10008
"BM_run/400/iterations:10000",10000,4075.06,4066.99,ns,,,,,,0,4,400,10001
"BM_run/500/iterations:10000",10000,4072.96,4066.81,ns,,,,,,0,7,500,10000
"BM_run/600/iterations:10000",10000,4483.55,4476.3,ns,,,,,,0,2,600,10000
"BM_run/700/iterations:10000",10000,4478.15,4470.51,ns,,,,,,0,6,700,10000
"BM_run/800/iterations:10000",10000,4465.66,4458.56,ns,,,,,,0,5,800,10000
"BM_run/900/iterations:10000",10000,4479.08,4471.27,ns,,,,,,0,3,900,10000
"BM_run/1000/iterations:10000",10000,4517.08,4507.8,ns,,,,,,0,6,1000,10000
"BM_run/2000/iterations:10000",10000,4471.04,4462.38,ns,,,,,,0,10,2000,10000
"BM_run/3000/iterations:10000",10000,4476.1,4467.57,ns,,,,,,0,4,3000,10000
"BM_run/4000/iterations:10000",10000,4450.67,4441.4,ns,,,,,,0,2,4000,10000
"BM_run/5000/iterations:10000",10000,4489.02,4482.16,ns,,,,,,0,7,5000,10000
"BM_run/6000/iterations:10000",10000,4472.96,4465.18,ns,,,,,,0,3,6000,10000
"BM_run/7000/iterations:10000",10000,4461.69,4453.99,ns,,,,,,0,3,7000,10000
"BM_run/8000/iterations:10000",10000,4500.14,4492.52,ns,,,,,,0,5,8000,10000
"BM_run/9000/iterations:10000",10000,4492.11,4483.74,ns,,,,,,0,7,9000,10000
"BM_run/10000/iterations:10000",10000,4487.59,4479.26,ns,,,,,,0,4,10000,10000
"BM_run/20000/iterations:10000",10000,4500.76,4492.77,ns,,,,,,0,5,20000,10000
"BM_run/30000/iterations:10000",10000,4469.21,4461.37,ns,,,,,,0,4,30000,10000
"BM_run/40000/iterations:10000",10000,4488.93,4481.57,ns,,,,,,0,6,40000,10000
"BM_run/50000/iterations:10000",10000,4487.69,4479.15,ns,,,,,,0,6,50000,10000
"BM_run/60000/iterations:10000",10000,4477.53,4468.41,ns,,,,,,0,7,60000,10000
"BM_run/70000/iterations:10000",10000,4485.53,4477.43,ns,,,,,,0,2,70000,10000
"BM_run/80000/iterations:10000",10000,4487.4,4479.24,ns,,,,,,0,4,80000,10000
"BM_run/90000/iterations:10000",10000,4495.24,4487.11,ns,,,,,,0,4,90000,10000
"BM_run/100000/iterations:10000",10000,4517.81,4508.09,ns,,,,,,0,5,100000,10000
"BM_run/200000/iterations:10000",10000,4511.21,4502.45,ns,,,,,,0,4,200000,10000
"BM_run/300000/iterations:10000",10000,4533.38,4523.53,ns,,,,,,0,5,300000,10000
"BM_run/400000/iterations:10000",10000,4493.65,4485.68,ns,,,,,,0,6,400000,10000
"BM_run/500000/iterations:10000",10000,4487.44,4479.38,ns,,,,,,0,2,500000,10000
"BM_run/600000/iterations:10000",10000,4457.95,4450.27,ns,,,,,,0,3,600000,10000
"BM_run/700000/iterations:10000",10000,4457.92,4450.31,ns,,,,,,0,3,700000,10000
"BM_run/800000/iterations:10000",10000,4474.88,4466.98,ns,,,,,,0,4,800000,10000
"BM_run/900000/iterations:10000",10000,4503.9,4496.46,ns,,,,,,0,5,900000,10000
"BM_run/1000000/iterations:10000",10000,4486.47,4478.39,ns,,,,,,0,5,1e+06,10000
"BM_run/2000000/iterations:10000",10000,4465.11,4456.88,ns,,,,,,0,4,2e+06,10000
"BM_run/3000000/iterations:10000",10000,4477.85,4470.19,ns,,,,,,0,4,3e+06,10000
"BM_run/4000000/iterations:10000",10000,4462.59,4455.87,ns,,,,,,0,3,4e+06,10000
"BM_run/5000000/iterations:10000",10000,4481.27,4472.93,ns,,,,,,0,4,5e+06,10000
"BM_run/6000000/iterations:10000",10000,4451.07,4442.77,ns,,,,,,0,9,6e+06,10000
"BM_run/7000000/iterations:10000",10000,4495.6,4486.82,ns,,,,,,0,2,7e+06,10000
"BM_run/8000000/iterations:10000",10000,4477.93,4469.54,ns,,,,,,0,4,8e+06,10000
"BM_run/9000000/iterations:10000",10000,4490.85,4483.28,ns,,,,,,0,4,9e+06,10000
"BM_run/10000000/iterations:10000",10000,4476.38,4468.53,ns,,,,,,0,2,1e+07,10000
"BM_run/20000000/iterations:10000",10000,4496.7,4488.09,ns,,,,,,0,6,2e+07,10000
"BM_run/30000000/iterations:10000",10000,4495.06,4487.51,ns,,,,,,0,5,3e+07,10000
"BM_run/40000000/iterations:10000",10000,4486.73,4477.99,ns,,,,,,0,2,4e+07,10000
"BM_run/50000000/iterations:10000",10000,4482.02,4473.71,ns,,,,,,0,5,5e+07,10000
"BM_run/60000000/iterations:10000",10000,4462.81,4454.62,ns,,,,,,0,3,6e+07,10000
"BM_run/70000000/iterations:10000",10000,4476.91,4469.49,ns,,,,,,0,3,7e+07,10000
"BM_run/80000000/iterations:10000",10000,4480.82,4473.06,ns,,,,,,0,5,8e+07,10000
"BM_run/90000000/iterations:10000",10000,4473.84,4466.58,ns,,,,,,0,6,9e+07,10000
