Data structure size: 13421773248 bits, construction time: 2786365778 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1.30424e+07,1.30353e+07,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,2.22477e+06,2.22342e+06,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1.07571e+06,1.07508e+06,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,684361,683966,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,522089,521777,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,437501,437238,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,339705,339498,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,276201,276029,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,233278,233128,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,195557,195431,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,38246.5,38208,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,19773.1,19749.1,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,10518.6,10502.2,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,4693.56,4682.96,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,3605.36,3594.96,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,3317.34,3306.39,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,3287.88,3280.84,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,3248.32,3240.11,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,3184.14,3176.35,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,3201.16,3194.79,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,3224.03,3217.49,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,3241.22,3233.39,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,3276.97,3270.74,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,3337.44,3329.99,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,3395.56,3388.52,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,3420.72,3413.3,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,3467.92,3460.26,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,3496.04,3488.5,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3922.84,3913.83,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,4348.79,4339.93,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,4735.54,4725.89,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,5167.81,5158,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,5572.42,5560.9,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,5978.28,5966.99,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,6378.64,6366.38,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,6799.01,6785.81,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,7220.79,7207.41,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,11352.4,11335.5,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,15474.2,15455.4,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,19569.1,19545.7,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,23720.5,23694.3,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,27833.1,27802.2,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,31978.2,31942.9,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,36138,36099.9,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,40259.6,40216.6,ns,,,,,,0,0,90000,10000
