Data structure size: 40265319552 bits, construction time: 12404143682 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,162.086,162.529,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,190.888,191.065,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,223.862,224.361,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,272.656,273.593,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,398.576,398.951,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,620.046,620.024,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,816.898,816.241,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,1040.96,1039.85,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,1303.21,1301.48,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,1538.17,1536.75,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,1977.12,1975.28,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,2076.85,2074.53,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,2067.02,2064.93,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,2051.37,2049.14,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,2057.82,2055.31,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,2048.42,2045.92,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,2063.41,2061.13,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,2053.04,2050.83,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,2083.78,2080.38,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,2057.54,2055.35,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,2049.46,2046.53,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,2044.63,2042.91,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,2065.21,2063,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,2074.91,2072.59,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,2056.77,2055.2,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,2061.49,2059.49,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,2059.09,2056.56,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,2054.44,2052.25,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,2061.13,2057.93,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,2063.88,2061.24,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,2052.1,2050.35,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,2059.53,2056.95,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,2062.69,2060.59,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,2060.25,2057.84,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,2061.23,2059.53,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,2051.06,2048.57,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,2048.55,2046.26,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,2059.67,2057.9,ns,,,,,,0,0,20000,10005
