Data structure size: 91818035968 bits, construction time: 44041401794 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,520.358,520.788,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,290.927,288.859,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1205.35,1199.82,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,623.441,617.335,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1346.25,1338.2,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,852.601,844.667,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1214.66,1205.31,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,757.063,746.535,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,934.479,923.797,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,860.716,849.374,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1065.47,1056.06,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,1098.37,1089.1,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,1132.94,1122.8,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,1143.8,1134.44,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,1141.87,1132.9,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,1222.34,1213.64,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,1232.68,1224.66,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,1234.66,1226.16,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,1216.36,1208.05,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,1320.01,1310.12,ns,,,,,,0,0,200,15711
